BKN,MIL,2
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. DurantK. DurantPF,30,13-25,3-7,3-6,0,11,11,4,0,2,1,2,32,-20
B. GriffinB. GriffinPF,23,2-5,0-1,2-2,1,4,5,0,1,0,1,1,6,-6
N. ClaxtonN. ClaxtonPF,24,6-9,0-0,0-3,0,7,7,0,0,0,0,3,12,-15
J. HarrisJ. HarrisSF,31,3-9,3-5,0-0,0,2,2,2,0,0,2,1,9,0
J. HardenJ. HardenSG,31,6-16,4-8,4-4,3,5,8,8,1,2,4,3,20,-20
P. MillsapP. MillsapPF,5,0-0,0-0,0-0,1,2,3,0,0,1,1,0,0,-1
J. JohnsonJ. JohnsonPF,21,0-2,0-1,1-2,0,0,0,2,0,1,0,3,1,-6
B. BrownB. BrownSF,4,0-0,0-0,0-0,0,1,1,0,0,1,0,0,0,-9
L. AldridgeL. AldridgeC,16,0-2,0-0,1-4,0,3,3,1,0,1,1,2,1,+2
P. MillsP. MillsPG,29,7-11,7-7,0-0,0,2,2,2,1,1,0,1,21,+7
J. CarterJ. CarterPG,19,0-3,0-2,0-0,0,2,2,0,0,0,1,1,0,-29
D. BembryD. BembrySG,4,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-9
C. ThomasC. ThomasSG,4,0-2,0-1,2-2,0,0,0,0,0,0,1,0,2,-9
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. AntetokounmpoG. AntetokounmpoPF,31,12-25,1-4,7-9,5,9,14,7,1,2,4,4,32,+25
K. MiddletonK. MiddletonSF,31,8-17,1-4,3-4,0,9,9,3,1,0,1,3,20,+20
B. LopezB. LopezC,28,3-9,2-4,0-0,2,3,5,0,1,3,0,3,8,0
J. HolidayJ. HolidayPG,18,5-7,2-4,0-0,1,0,1,1,1,0,0,0,12,+17
G. AllenG. AllenSG,28,3-10,3-10,1-1,0,4,4,6,2,0,0,0,10,+23
S. MamukelashviliS. MamukelashviliPF,7,0-1,0-0,0-0,0,1,1,1,0,0,0,0,0,+9
J. RobinsonJ. RobinsonF,4,1-2,1-2,0-0,0,0,0,0,0,0,0,0,3,+11
T. AntetokounmpoT. AntetokounmpoSF,12,2-3,0-0,2-2,1,3,4,1,0,1,0,1,6,+8
J. NworaJ. NworaSF,26,6-13,3-6,0-0,0,6,6,1,1,1,1,3,15,+6
G. KalaitzakisG. KalaitzakisSF,1,0-2,0-0,0-0,2,0,2,0,0,0,0,0,0,+2
G. HillG. HillPG,23,0-3,0-2,1-2,2,3,5,3,0,1,1,5,1,-6
P. ConnaughtonP. ConnaughtonSG,30,8-13,4-9,0-0,0,3,3,2,1,1,0,0,20,0
