DEN,PHX,2
DEN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
A. GordonA. GordonPF,29,5-6,1-1,1-2,2,6,8,4,0,1,3,2,12,+22
W. BartonW. BartonSF,34,8-14,4-8,0-0,0,6,6,5,1,0,0,2,20,+20
M. Porter Jr.M. Porter Jr.SF,34,6-10,2-3,1-1,1,5,6,5,2,0,2,3,15,+24
N. JokicN. JokicC,35,13-22,1-6,0-0,2,11,13,2,2,0,3,3,27,+28
M. MorrisM. MorrisPG,28,3-8,3-6,0-2,0,2,2,3,0,0,1,1,9,+18
Je. GreenJe. GreenPF,19,4-9,3-6,2-2,0,1,1,1,0,0,2,3,13,-10
Ja. GreenJa. GreenPF,13,1-4,0-2,0-0,0,2,2,0,1,0,2,3,2,-16
F. CampazzoF. CampazzoPG,20,0-3,0-1,0-0,0,3,3,4,2,0,2,1,0,-6
A. RiversA. RiversSG,8,1-3,0-2,0-0,0,0,0,0,0,0,1,0,2,-13
P.J. DozierP.J. DozierSG,21,3-4,3-4,1-2,1,4,5,1,1,0,1,2,10,-7
PHX
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CrowderJ. CrowderPF,24,0-5,0-5,2-2,0,8,8,2,1,0,1,1,2,-7
M. BridgesM. BridgesSF,34,7-16,2-6,0-2,1,4,5,0,1,1,1,2,16,-21
D. AytonD. AytonC,33,6-10,1-3,2-2,2,4,6,2,1,0,2,2,15,-15
C. PaulC. PaulPG,34,6-11,2-4,1-2,2,2,4,10,2,1,3,3,15,-23
D. BookerD. BookerSG,30,3-15,2-7,4-4,1,3,4,4,1,0,3,3,12,-24
A. NaderA. NaderSF,13,0-2,0-1,0-0,1,2,3,1,1,0,1,2,0,+9
C. JohnsonC. JohnsonSF,24,4-10,3-5,0-0,1,1,2,1,1,0,1,1,11,-5
J. McGeeJ. McGeeC,15,3-4,0-0,0-0,1,7,8,0,0,1,3,2,6,+3
C. PayneC. PaynePG,14,3-9,1-3,3-5,1,1,2,3,1,0,3,2,10,+11
L. ShametL. ShametSG,19,4-5,3-3,0-0,1,2,3,0,0,0,0,0,11,+12
