LAC,GS,2
LAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
M. Morris Sr.M. Morris Sr.SF,25,3-7,2-5,2-2,0,1,1,0,2,1,1,4,10,-16
I. ZubacI. ZubacC,17,4-7,0-0,6-10,1,2,3,2,0,0,0,2,14,-13
R. JacksonR. JacksonPG,39,4-19,3-9,0-0,1,4,5,6,1,0,1,3,11,-9
E. BledsoeE. BledsoeSG,30,10-16,1-4,1-3,1,2,3,2,3,1,0,4,22,-13
P. GeorgeP. GeorgeSG,37,12-23,5-11,0-0,1,10,11,6,2,0,3,3,29,+3
J. WinslowJ. WinslowPF,14,2-4,0-0,0-0,2,4,6,1,0,0,2,2,4,-1
T. MannT. MannSG,39,4-8,2-4,1-1,2,6,8,3,1,0,0,3,11,+6
L. KennardL. KennardSG,24,3-9,1-5,0-0,0,1,1,4,0,0,0,2,7,+19
A. CoffeyA. CoffeySG,15,0-3,0-2,5-5,0,1,1,0,0,0,0,2,5,+14
GS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. GreenD. GreenPF,34,4-5,0-0,2-9,0,6,6,7,1,0,1,3,10,-7
A. WigginsA. WigginsSF,31,6-15,3-6,2-2,3,3,6,3,1,1,2,1,17,-5
K. LooneyK. LooneyC,14,2-3,0-0,2-2,4,3,7,1,0,1,0,4,6,+8
S. CurryS. CurryPG,38,16-25,8-13,5-5,0,10,10,1,1,1,6,2,45,-2
J. PooleJ. PooleSG,25,4-14,1-6,0-0,1,3,4,4,1,0,7,4,9,+10
N. BjelicaN. BjelicaPF,16,3-5,0-0,0-0,1,5,6,0,0,0,1,0,6,-11
A. IguodalaA. IguodalaF,24,2-2,0-0,0-0,0,6,6,3,1,1,1,0,4,+13
O. Porter Jr.O. Porter Jr.SF,18,2-3,0-1,0-0,1,6,7,2,0,0,2,1,4,+13
J. Toscano-AndersonJ. Toscano-AndersonSF,7,1-3,1-2,0-0,0,0,0,2,0,0,1,3,3,-6
D. LeeD. LeeSG,29,3-8,2-3,3-4,0,1,1,2,0,0,0,2,11,+6
G. Payton IIG. Payton IISG,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
M. MoodyM. MoodySG,4,0-0,0-0,0-0,0,0,0,2,0,0,0,0,0,-9
