ATL,NY,2
ATL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CollinsJ. CollinsPF,33,7-18,3-5,3-4,2,6,8,3,0,2,1,2,20,-21
C. ReddishC. ReddishSF,34,4-15,1-8,1-1,0,6,6,3,2,0,2,1,10,-18
C. CapelaC. CapelaC,28,2-7,0-0,2-6,4,5,9,1,0,2,1,3,6,-14
B. BogdanovicB. BogdanovicSG,36,2-12,2-8,2-3,0,5,5,4,1,0,2,1,8,-17
D. WrightD. WrightSG,34,8-13,4-5,0-0,2,2,4,2,3,1,1,1,20,-18
M. HillM. HillF,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+5
J. JohnsonJ. JohnsonSF,15,2-3,0-1,0-0,0,7,7,0,0,0,2,1,4,+7
G. DiengG. DiengC,20,2-6,2-4,0-0,0,4,4,5,0,0,1,1,6,0
S. MaysS. MaysSG,23,5-11,1-6,0-0,0,0,0,2,2,0,0,1,11,-2
L. StephensonL. StephensonG,14,1-2,0-1,0-0,0,3,3,2,0,0,1,1,2,+3
C. BarberC. BarberG,2,0-0,0-0,0-0,0,0,0,1,0,0,1,0,0,+5
NY
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. RandleJ. RandlePF,34,9-15,6-9,1-4,1,11,12,3,1,0,3,3,25,+21
M. RobinsonM. RobinsonC,30,2-2,0-0,0-2,2,6,8,1,0,5,1,3,4,+18
K. WalkerK. WalkerPG,40,3-12,2-9,2-2,3,7,10,12,0,0,1,0,10,+19
E. FournierE. FournierSG,31,6-12,3-6,0-0,0,5,5,3,1,0,2,0,15,+21
R. BarrettR. BarrettSG,26,4-15,1-8,0-2,0,3,3,4,0,1,0,1,9,+12
O. ToppinO. ToppinPF,14,5-8,1-2,2-2,0,4,4,1,0,0,0,0,13,-7
T. GibsonT. GibsonC,18,2-2,1-1,0-0,1,2,3,0,1,0,0,1,5,-4
A. BurksA. BurksSG,18,2-4,1-2,0-0,2,1,3,2,0,0,1,1,5,-3
M. MooneyM. MooneySG,2,0-1,0-1,0-0,0,0,0,0,1,0,1,0,0,-5
Q. GrimesQ. GrimesSG,25,5-14,5-12,0-0,0,2,2,2,2,0,1,4,15,+3
T. HallT. HallG,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-5
