BOS,MIL,2
BOS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TatumJ. TatumSF,40,7-20,4-10,7-8,1,8,9,4,2,2,4,3,25,-7
R. Williams IIIR. Williams IIIC,39,5-7,0-0,1-2,6,8,14,4,0,2,2,4,11,+3
M. SmartM. SmartPG,40,6-14,3-10,4-4,0,2,2,7,1,0,4,3,19,-13
J. BrownJ. BrownSG,37,8-18,2-7,7-7,1,3,4,3,2,1,3,4,25,-15
R. LangfordR. LangfordSG,26,2-4,1-2,0-0,0,2,2,0,2,1,0,4,5,0
J. ParkerJ. ParkerPF,12,3-7,2-4,1-1,1,2,3,0,1,0,1,1,9,+1
HernangómezHernangómez F,16,1-5,1-4,0-2,1,4,5,1,0,1,0,1,3,-3
P. PritchardP. PritchardPG,30,6-14,4-8,0-0,1,4,5,5,1,1,0,3,16,+14
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. AntetokounmpoG. AntetokounmpoPF,30,13-23,0-2,10-15,3,9,12,5,0,2,2,4,36,-1
K. MiddletonK. MiddletonSF,36,5-13,4-9,3-4,1,2,3,7,1,1,4,1,17,+21
D. CousinsD. CousinsC,17,4-10,0-2,1-3,3,5,8,0,0,0,1,4,9,-5
J. HolidayJ. HolidayPG,37,8-14,1-4,0-0,0,5,5,3,4,1,2,3,17,+19
G. AllenG. AllenSG,26,0-4,0-3,2-2,0,2,2,3,1,0,0,1,2,-4
B. PortisB. PortisC,22,6-13,2-4,2-2,6,4,10,4,0,0,4,3,16,0
G. HillG. HillPG,21,2-4,1-3,0-0,1,1,2,1,0,1,0,3,5,-4
W. MatthewsW. MatthewsSG,18,3-4,2-2,1-1,1,0,1,0,0,0,0,0,9,-4
P. ConnaughtonP. ConnaughtonSG,18,1-2,1-2,0-0,0,3,3,1,1,1,0,1,3,-15
D. DiVincenzoD. DiVincenzoSG,16,1-4,1-2,0-0,0,2,2,0,0,0,0,0,3,+13
