HOU,MIN,2
HOU
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TateJ. TateSF,21,1-4,0-0,0-0,1,2,3,2,0,0,2,4,2,-16
D. TheisD. TheisC,21,4-6,1-2,2-2,2,3,5,0,0,0,1,2,11,-23
C. WoodC. WoodC,32,6-15,2-6,2-4,2,7,9,3,0,1,1,3,16,-24
K. Porter Jr.K. Porter Jr.SG,25,4-12,2-7,1-2,1,2,3,3,1,0,9,3,11,-18
J. GreenJ. GreenSG,32,4-14,1-6,0-0,0,4,4,4,1,0,0,0,9,-37
U. GarubaU. GarubaPF,8,2-3,0-0,0-0,1,1,2,1,1,2,0,1,4,+17
K. Martin Jr.K. Martin Jr.F,9,3-4,0-0,1-2,1,1,2,1,1,0,0,0,7,+13
D. NwabaD. NwabaSF,17,3-7,0-2,1-4,0,4,4,2,2,0,1,6,7,+18
A. SengunA. SengunC,19,3-4,0-0,5-5,3,3,6,2,3,0,3,4,11,-8
D.J. AugustinD.J. AugustinPG,17,1-4,0-2,0-0,0,0,0,2,1,0,3,1,2,-19
E. GordonE. GordonSG,23,6-8,3-4,0-0,0,2,2,0,1,0,3,0,15,-27
A. BrooksA. BrooksSG,8,2-4,1-3,1-1,0,0,0,0,0,0,0,1,6,+17
J. ChristopherJ. ChristopherSG,8,1-3,1-1,2-2,1,0,1,1,2,0,1,0,5,+17
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. McDanielsJ. McDanielsPF,26,2-3,0-1,0-0,0,4,4,1,4,2,1,3,4,+26
J. OkogieJ. OkogieSF,21,2-5,0-1,2-2,2,3,5,0,2,2,0,1,6,+20
A. EdwardsA. EdwardsSF,31,10-21,6-12,3-4,2,4,6,3,1,0,4,2,29,+26
K. TownsK. TownsC,29,11-15,3-4,5-5,5,5,10,2,2,2,3,3,30,+34
D. RussellD. RussellPG,25,6-16,4-8,6-8,0,3,3,7,1,1,3,3,22,+9
T. PrinceT. PrincePF,16,1-3,1-3,2-2,0,3,3,2,1,0,1,1,5,+2
J. VanderbiltJ. VanderbiltPF,15,0-0,0-0,2-2,0,3,3,1,2,0,0,3,2,+4
J. LaymanJ. LaymanSF,5,1-3,0-1,0-0,0,0,0,0,0,0,0,0,2,-11
N. ReidN. ReidC,19,2-5,0-2,1-2,2,5,7,1,1,3,2,3,5,-16
J. McLaughlinJ. McLaughlinPG,19,1-3,0-1,1-2,1,1,2,4,2,0,1,1,3,+20
M. Wright IVM. Wright IVPG,4,1-1,1-1,0-0,0,0,0,0,0,0,1,0,3,-6
M. BeasleyM. BeasleySG,21,4-8,1-4,0-2,0,1,1,4,2,2,0,1,9,+6
J. NowellJ. NowellSG,6,1-3,0-0,0-0,1,1,2,1,0,0,1,1,2,-13
L. BolmaroL. BolmaroSG,5,0-1,0-0,2-2,0,0,0,0,0,0,1,0,2,-11
