ORL,SA,2
ORL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
F. WagnerF. WagnerSF,32,6-9,0-2,0-0,2,2,4,2,1,2,0,2,12,-4
W. Carter Jr.W. Carter Jr.C,19,5-10,1-1,2-2,1,7,8,1,1,0,0,1,13,+3
M. BambaM. BambaC,27,6-8,3-4,3-4,3,1,4,4,1,4,3,5,18,+1
C. AnthonyC. AnthonyPG,30,3-12,1-7,3-4,1,4,5,4,0,0,3,3,10,-3
J. SuggsJ. SuggsSG,30,3-14,1-6,3-3,0,1,1,1,1,0,3,3,10,-13
I. BrazdeikisI. BrazdeikisSF,19,1-6,0-3,0-0,1,2,3,1,1,0,1,0,2,-30
R. LopezR. LopezC,13,2-4,0-0,0-0,3,0,3,0,0,0,2,2,4,-19
M. WagnerM. WagnerC,15,2-5,1-3,2-4,2,4,6,1,0,0,1,2,7,-11
R.J. HamptonR.J. HamptonPG,26,2-8,1-2,1-2,0,7,7,3,1,0,2,1,6,-22
T. RossT. RossSG,27,5-10,1-1,4-4,0,3,3,0,0,0,1,1,15,-32
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. McDermottD. McDermottSF,22,4-7,2-3,2-2,0,0,0,0,0,0,0,2,12,+7
K. JohnsonK. JohnsonSF,28,6-12,0-1,3-6,2,2,4,1,0,0,2,2,15,+4
J. PoeltlJ. PoeltlC,30,6-8,0-0,0-0,8,5,13,7,0,0,1,3,12,+11
D. WhiteD. WhitePG,30,6-11,3-4,1-3,0,4,4,4,1,0,0,2,16,+9
D. MurrayD. MurrayPG,31,6-17,0-4,3-3,0,6,6,8,4,0,3,3,15,+13
D. EubanksD. EubanksPF,14,1-2,0-0,0-0,2,4,6,2,0,1,1,2,2,+15
K. Bates-DiopK. Bates-DiopSF,11,3-3,1-1,0-0,0,1,1,0,0,0,1,2,7,+19
J. LandaleJ. LandaleC,4,0-1,0-0,1-2,1,0,1,1,0,1,0,0,1,0
T. JonesT. JonesPG,8,2-3,0-0,0-0,0,0,0,1,0,0,0,0,4,0
B. ForbesB. ForbesSG,6,0-4,0-3,0-0,0,0,0,0,0,0,0,0,0,+1
L. Walker IVL. Walker IVSG,25,6-17,3-9,2-2,0,6,6,3,1,1,0,4,17,+26
D. VassellD. VassellSG,25,8-12,3-4,0-0,0,2,2,5,2,0,0,2,19,+24
J. PrimoJ. PrimoSG,5,1-1,1-1,0-0,0,0,0,0,0,0,0,0,3,+1
