OKC,UTAH,2
OKC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. BazleyD. BazleyPF,30,5-14,1-7,4-5,1,6,7,2,0,0,1,0,15,-19
L. DortL. DortSF,30,2-10,1-6,2-4,2,4,6,2,2,0,3,3,7,-21
D. FavorsD. FavorsC,20,2-9,0-0,0-0,4,5,9,1,0,1,1,1,4,-13
S. Gilgeous-AlexanderS. Gilgeous-AlexanderPG,33,7-17,1-7,3-5,1,3,4,2,0,0,1,2,18,-21
J. GiddeyJ. GiddeySG,29,2-7,0-0,0-0,2,8,10,3,0,0,1,2,4,-16
J. Robinson-EarlJ. Robinson-EarlPF,13,4-6,2-3,0-0,0,2,2,0,0,0,0,1,10,-11
I. RobyI. RobyF,14,4-8,0-3,0-0,4,2,6,1,0,0,1,2,8,+3
K. WilliamsK. WilliamsSF,16,3-5,1-2,0-0,0,0,0,1,0,0,1,2,7,-1
A. PokusevskiA. PokusevskiC,15,0-2,0-2,0-2,1,2,3,3,1,0,2,1,0,-2
T. MannT. MannPG,15,4-7,1-2,0-0,0,0,0,1,1,1,1,0,9,-4
T. MaledonT. MaledonPG,21,1-6,0-3,2-2,0,2,2,3,0,0,2,1,4,-3
V. KrejciV. KrejciG,3,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,+3
UTAH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. O'NealeR. O'NealePF,28,0-4,0-4,0-0,0,6,6,2,0,1,1,0,0,+14
B. BogdanovicB. BogdanovicSF,28,10-17,2-6,0-0,2,2,4,2,1,0,1,1,22,+17
R. GobertR. GobertC,29,6-9,0-0,4-6,5,16,21,0,0,1,1,1,16,+20
M. ConleyM. ConleyPG,25,4-12,2-7,0-0,0,0,0,4,2,0,1,4,10,+16
D. MitchellD. MitchellSG,28,6-17,3-10,1-1,2,1,3,4,2,1,1,2,16,+20
E. PaschallE. PaschallPF,14,1-4,1-3,0-0,0,3,3,1,0,0,0,1,3,+4
M. FittsM. FittsF,2,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,0
E. HughesE. HughesSF,3,0-0,0-0,2-2,0,0,0,0,0,0,0,0,2,-3
H. WhitesideH. WhitesideC,19,2-4,0-0,2-2,2,8,10,0,1,2,1,5,6,+1
J. ClarksonJ. ClarksonPG,27,6-11,2-6,4-4,1,0,1,1,0,0,3,2,18,+4
J. InglesJ. InglesSG,26,5-8,4-7,0-0,0,3,3,3,0,0,0,1,14,+11
M. OniM. OniSG,2,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0,0
J. ButlerJ. ButlerSG,9,0-5,0-4,0-0,0,1,1,1,0,0,1,1,0,+1
