SAC,POR,2
SAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
H. BarnesH. BarnesSF,37,10-19,8-11,8-9,2,7,9,2,2,0,0,0,36,+6
M. HarklessM. HarklessSF,22,2-6,0-3,3-3,0,2,2,0,1,1,1,2,7,+4
R. HolmesR. HolmesC,29,9-10,1-1,2-3,4,7,11,2,1,2,1,2,21,+20
D. FoxD. FoxPG,36,9-22,2-8,7-10,0,5,5,8,0,1,5,5,27,+6
T. HaliburtonT. HaliburtonPG,29,1-5,0-1,0-0,0,2,2,4,1,0,1,2,2,+8
T. ThompsonT. ThompsonC,19,3-5,0-0,0-0,1,4,5,0,0,0,1,3,6,-17
D. MitchellD. MitchellPG,24,1-6,0-2,0-0,0,3,3,3,0,0,0,3,2,-10
B. HieldB. HieldSG,31,5-9,4-7,3-4,0,6,6,2,0,0,0,2,17,+5
T. DavisT. DavisSG,13,2-10,2-8,0-0,0,0,0,3,1,0,1,3,6,-7
POR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. CovingtonR. CovingtonPF,31,3-9,2-7,0-0,0,4,4,0,0,2,1,2,8,-9
N. PowellN. PowellSF,35,3-9,1-3,7-8,0,5,5,0,0,0,1,3,14,+3
J. NurkicJ. NurkicC,29,6-10,1-1,7-7,3,11,14,2,0,1,1,4,20,-2
D. LillardD. LillardPG,40,8-24,0-9,4-5,0,6,6,11,1,0,1,3,20,-2
C. McCollumC. McCollumSG,35,14-24,6-11,0-0,2,4,6,5,3,1,5,4,34,0
L. Nance Jr.L. Nance Jr.PF,17,1-3,0-1,0-0,0,3,3,2,0,0,1,4,2,+4
N. LittleN. LittleSF,16,3-5,1-1,0-0,2,1,3,0,0,0,1,1,7,-1
C. ZellerC. ZellerC,19,2-3,0-0,1-2,2,4,6,1,1,1,0,1,5,+1
A. SimonsA. SimonsSG,18,5-6,1-2,0-0,0,2,2,4,0,0,1,0,11,-9
