CHA,CLE,2
CHA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. HaywardG. HaywardSF,35,6-12,4-7,2-2,1,0,1,9,0,1,4,3,18,+21
M. BridgesM. BridgesSF,35,13-24,4-9,0-0,3,4,7,0,3,0,1,1,30,+8
M. PlumleeM. PlumleeC,22,3-4,0-0,1-2,2,12,14,1,1,0,3,2,7,+5
L. BallL. BallPG,29,8-12,1-3,0-0,0,3,3,6,5,0,3,3,17,+3
T. RozierT. RozierSG,23,1-5,0-2,4-4,0,2,2,2,1,0,3,2,6,-1
J. McDanielsJ. McDanielsPF,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-5
P.J. WashingtonP.J. WashingtonPF,24,3-8,0-2,2-2,2,3,5,3,0,0,1,1,8,+11
K. JonesK. JonesPF,1,0-0,0-0,0-0,0,0,0,0,0,0,2,0,0,-5
J. ThorJ. ThorPF,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-5
C. MartinC. MartinSF,22,4-8,0-2,2-2,2,6,8,2,2,0,1,2,10,+14
N. RichardsN. RichardsC,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-5
I. SmithI. SmithPG,18,1-5,0-0,0-2,1,1,2,8,0,0,0,0,2,+13
K. Oubre Jr.K. Oubre Jr.SG,27,9-13,4-7,3-3,0,3,3,1,1,0,0,2,25,+6
J. BouknightJ. BouknightSG,1,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,-5
CLE
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
L. MarkkanenL. MarkkanenPF,34,5-11,2-5,1-2,1,4,5,2,0,0,0,1,13,-9
J. AllenJ. AllenC,27,5-6,0-0,1-1,0,4,4,2,0,0,2,4,11,-6
E. MobleyE. MobleyC,32,4-7,0-0,5-6,1,4,5,2,2,2,4,2,13,-7
R. RubioR. RubioPG,28,5-12,3-6,2-2,1,1,2,10,2,0,6,1,15,-9
C. SextonC. SextonPG,35,13-21,2-7,5-5,1,3,4,1,2,0,3,3,33,-5
K. LoveK. LovePF,24,2-8,0-3,2-2,1,10,11,4,1,1,1,1,6,-10
D. WadeD. WadePF,5,1-3,1-3,0-0,0,1,1,0,1,0,0,0,3,+1
L. StevensL. StevensF,2,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,+3
C. OsmanC. OsmanSF,17,4-8,1-4,0-0,0,0,0,3,0,0,0,0,9,+4
I. OkoroI. OkoroSF,25,3-5,0-2,1-2,1,1,2,1,0,0,1,2,7,-21
T. FallT. FallC,2,0-1,0-0,0-0,1,1,2,0,0,0,1,0,0,+3
D. ValentineD. ValentineSG,2,0-0,0-0,0-0,0,0,0,0,1,0,0,0,0,+3
NembhardNembhard SG,2,1-1,0-0,0-0,0,0,0,1,0,0,0,0,2,+3
K. PangosK. PangosG,5,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0,-5
