NY,ORL,2
NY
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. RandleJ. RandlePF,30,9-16,2-6,1-2,0,10,10,7,2,0,4,3,21,+24
M. RobinsonM. RobinsonC,28,3-5,0-0,0-0,4,5,9,0,0,0,1,5,6,+4
K. WalkerK. WalkerPG,22,4-8,3-5,0-0,0,0,0,1,1,1,1,1,11,-2
E. FournierE. FournierSG,27,5-12,4-9,4-5,0,2,2,3,2,0,2,2,18,+16
R. BarrettR. BarrettSG,25,3-8,0-5,1-3,1,6,7,3,1,1,2,1,7,+12
J. SimsJ. SimsPF,10,1-1,0-0,0-0,0,4,4,0,1,0,0,1,2,+15
O. ToppinO. ToppinPF,23,5-8,2-4,1-5,0,2,2,2,2,1,0,3,13,+14
K. Knox IIK. Knox IIF,4,0-0,0-0,0-0,0,0,0,1,0,0,1,1,0,-7
W. SeldenW. SeldenF,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-2
D. RoseD. RosePG,24,4-8,4-6,0-0,0,0,0,7,0,0,0,1,12,+34
M. McBrideM. McBridePG,3,0-3,0-2,0-0,0,0,0,0,0,1,0,0,0,-7
A. BurksA. BurksSG,18,4-7,4-7,0-0,0,2,2,7,0,0,0,1,12,+20
I. QuickleyI. QuickleySG,20,5-10,4-8,2-2,1,1,2,3,1,0,0,0,16,+11
Q. GrimesQ. GrimesSG,5,1-2,1-2,0-0,0,0,0,0,0,0,0,0,3,-7
ORL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
F. WagnerF. WagnerSF,34,6-12,4-5,0-0,1,3,4,0,0,0,3,1,16,-8
W. Carter Jr.W. Carter Jr.C,30,3-7,1-4,3-4,2,9,11,4,1,1,1,3,10,-12
M. BambaM. BambaC,34,6-9,3-5,0-0,0,10,10,1,1,2,1,1,15,-8
C. AnthonyC. AnthonyPG,32,3-14,2-7,2-2,0,2,2,6,1,0,4,3,10,-20
J. SuggsJ. SuggsSG,32,4-17,0-6,6-6,4,3,7,8,2,0,2,2,14,-4
I. BrazdeikisI. BrazdeikisSF,8,0-1,0-1,0-0,0,1,1,1,0,0,0,1,0,-2
R. LopezR. LopezC,13,2-3,0-0,1-1,1,3,4,1,0,0,0,0,5,-19
M. WagnerM. WagnerC,13,2-6,1-5,1-1,0,2,2,0,0,0,3,4,6,-8
R.J. HamptonR.J. HamptonPG,20,3-6,2-3,0-0,1,3,4,2,0,0,2,2,8,-10
T. RossT. RossSG,24,4-8,4-7,0-1,0,1,1,1,0,0,2,1,12,-34
