NO,CHI,2
NO
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
B. IngramB. IngramSF,34,10-20,2-3,4-5,0,8,8,8,0,0,2,4,26,-8
H. JonesH. JonesSF,29,3-4,0-0,0-0,0,1,1,3,1,1,2,3,6,+17
J. ValanciunasJ. ValanciunasC,33,8-11,0-0,2-2,1,7,8,3,0,1,0,2,18,+3
D. GrahamD. GrahamPG,30,7-14,6-11,1-2,2,4,6,6,0,0,3,2,21,+3
N. Alexander-WalkerN. Alexander-WalkerSG,32,4-9,3-6,4-4,2,3,5,1,4,2,3,2,15,+1
G. TempleG. TempleSF,10,1-4,1-2,0-0,1,0,1,0,1,0,0,2,3,-23
N. MarshallN. MarshallSF,13,1-5,0-0,0-0,2,5,7,1,1,0,2,1,2,-7
J. HayesJ. HayesC,15,3-5,1-1,2-2,0,2,2,0,0,1,0,2,9,-19
K. Lewis Jr.K. Lewis Jr.PG,11,3-8,1-3,0-0,1,1,2,3,0,0,1,0,7,-9
T. SatoranskyT. SatoranskySG,7,0-2,0-0,0-0,0,0,0,0,0,0,1,0,0,-10
T. Murphy IIIT. Murphy IIISG,25,2-5,1-3,0-1,0,2,2,1,0,0,2,2,5,-28
CHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P. WilliamsP. WilliamsPF,24,3-5,2-2,0-0,1,3,4,0,1,0,0,4,8,-4
D. DeRozanD. DeRozanSF,32,9-20,0-2,8-9,2,4,6,4,0,0,1,2,26,+15
N. VucevicN. VucevicC,31,4-11,1-4,1-2,1,3,4,4,4,2,4,2,10,+10
L. BallL. BallPG,35,6-11,3-8,2-2,2,8,10,11,3,1,0,2,17,+13
Z. LaVineZ. LaVineSG,32,11-19,6-9,4-5,1,5,6,5,0,1,6,0,32,+7
A. JohnsonA. JohnsonF,14,3-3,0-0,2-3,2,6,8,2,0,0,1,1,8,+10
J. GreenJ. GreenSF,17,4-6,0-1,2-2,1,0,1,1,1,2,0,1,10,+20
D. Jones Jr.D. Jones Jr.SF,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-4
T. Brown Jr.T. Brown Jr.SF,16,2-4,2-2,0-0,0,2,2,1,0,0,1,0,6,+3
T. BradleyT. BradleyC,2,1-1,0-0,0-0,0,1,1,0,0,1,1,2,2,-4
A. CarusoA. CarusoSG,29,4-7,0-0,1-2,1,2,3,3,0,0,0,0,9,+22
M. ThomasM. ThomasSG,2,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,-4
A. DosunmuA. DosunmuSG,2,0-1,0-0,0-0,0,1,1,1,0,0,0,0,0,-4
