OKC,HOU,2
OKC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. BazleyD. BazleyPF,18,1-7,0-2,3-5,0,6,6,2,1,1,1,1,5,-27
I. RobyI. RobyF,10,1-5,1-1,0-0,0,1,1,0,0,0,1,2,3,-18
L. DortL. DortSF,27,3-9,1-5,1-2,0,1,1,4,2,1,1,2,8,-24
S. Gilgeous-AlexanderS. Gilgeous-AlexanderPG,26,6-15,1-6,0-0,0,4,4,2,0,0,5,1,13,-28
J. GiddeyJ. GiddeySG,20,2-6,1-3,1-2,1,1,2,4,1,1,1,1,6,-21
J. Robinson-EarlJ. Robinson-EarlPF,21,1-3,1-2,1-2,1,5,6,0,0,0,1,1,4,-7
K. WilliamsK. WilliamsSF,22,5-10,2-3,0-0,2,2,4,3,0,1,2,5,12,-8
G. DeckG. DeckSF,9,0-2,0-1,0-0,0,0,0,1,0,0,0,0,0,-1
D. FavorsD. FavorsC,10,1-4,0-0,0-0,2,3,5,0,0,0,0,1,2,-1
M. MuscalaM. MuscalaC,12,5-7,2-3,1-1,0,2,2,0,1,0,0,0,13,-6
A. PokusevskiA. PokusevskiC,17,4-9,2-7,0-0,2,5,7,2,2,0,2,2,10,-3
T. MannT. MannPG,13,3-5,2-3,0-2,0,0,0,0,0,0,0,2,8,-11
T. MaledonT. MaledonPG,15,2-2,1-1,0-0,0,0,0,3,1,0,3,2,5,+1
T. JeromeT. JeromeSG,15,0-5,0-4,0-0,0,0,0,1,1,0,1,1,0,-7
V. KrejciV. KrejciG,6,0-2,0-2,2-2,0,1,1,0,0,0,1,0,2,-4
HOU
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TateJ. TateSF,28,6-9,2-2,2-2,2,12,14,5,1,0,2,2,16,+28
D. TheisD. TheisC,18,1-2,0-1,1-2,0,3,3,0,0,0,0,4,3,+14
C. WoodC. WoodC,33,13-19,4-6,1-1,5,9,14,1,1,3,1,2,31,+26
K. Porter Jr.K. Porter Jr.SG,31,7-16,4-8,0-0,0,3,3,10,2,2,2,1,18,+25
J. GreenJ. GreenSG,26,4-11,1-5,0-0,0,3,3,2,2,1,2,2,9,+11
U. GarubaU. GarubaPF,6,0-1,0-1,0-0,0,1,1,0,0,1,1,0,0,+4
K. Martin Jr.K. Martin Jr.F,6,0-0,0-0,0-0,0,0,0,1,0,0,0,1,0,+4
D. House Jr.D. House Jr.SF,11,0-2,0-1,2-2,0,3,3,2,1,0,0,0,2,+4
D. NwabaD. NwabaSF,16,3-7,0-1,0-0,2,5,7,2,2,1,2,0,6,+3
A. SengunA. SengunC,18,3-5,0-2,0-1,1,3,4,1,1,2,6,4,6,+14
D.J. AugustinD.J. AugustinPG,9,1-3,1-2,0-0,0,0,0,3,0,0,0,1,3,+4
E. GordonE. GordonSG,26,7-14,4-6,4-5,0,0,0,1,1,0,0,0,22,+20
A. BrooksA. BrooksSG,6,2-3,1-2,1-1,0,0,0,1,0,0,0,0,6,+4
J. ChristopherJ. ChristopherSG,6,1-3,0-1,0-0,0,2,2,0,1,0,1,1,2,+4
