SA,DEN,2
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. McDermottD. McDermottSF,31,2-6,1-4,0-0,0,3,3,1,0,0,2,0,5,-6
K. JohnsonK. JohnsonSF,37,12-18,0-2,3-4,0,4,4,2,3,0,1,3,27,+6
J. PoeltlJ. PoeltlC,26,7-9,0-0,1-2,4,4,8,1,1,0,3,4,15,+15
D. WhiteD. WhitePG,37,5-13,2-7,4-4,0,2,2,8,2,2,2,1,16,+1
D. MurrayD. MurrayPG,35,7-18,1-4,0-0,1,8,9,6,2,0,4,4,15,+2
T. YoungT. YoungPF,9,1-3,0-0,0-0,0,0,0,0,0,0,2,0,2,-10
D. EubanksD. EubanksPF,13,2-2,0-0,0-0,1,3,4,2,0,0,3,4,4,-11
T. JonesT. JonesPG,1,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0,+2
B. ForbesB. ForbesSG,10,0-2,0-2,0-0,0,1,1,1,0,0,1,0,0,+7
L. Walker IVL. Walker IVSG,20,2-6,1-2,1-2,0,4,4,2,1,0,1,0,6,-14
D. VassellD. VassellSG,20,2-7,1-3,1-2,1,3,4,1,2,0,0,1,6,-22
DEN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
A. GordonA. GordonPF,30,3-6,0-1,2-2,2,3,5,1,0,0,3,5,8,+5
W. BartonW. BartonSF,32,5-13,2-4,0-0,1,6,7,6,0,0,0,1,12,+12
M. Porter Jr.M. Porter Jr.SF,27,3-10,1-5,0-0,0,1,1,0,1,0,1,4,7,0
N. JokicN. JokicC,34,14-19,2-2,2-3,5,11,16,7,3,1,6,4,32,+14
M. MorrisM. MorrisPG,29,6-12,1-5,0-0,0,2,2,1,1,0,4,2,13,0
Je. GreenJe. GreenPF,18,1-3,0-2,0-0,0,1,1,2,0,0,1,0,2,-1
Ja. GreenJa. GreenPF,14,4-5,2-3,0-0,0,2,2,1,3,0,4,3,10,-6
F. CampazzoF. CampazzoPG,19,4-8,0-3,0-0,0,4,4,4,1,1,1,1,8,+6
A. RiversA. RiversSG,16,1-4,0-2,1-2,0,1,1,1,1,0,1,1,3,-6
P.J. DozierP.J. DozierSG,21,3-6,1-3,0-1,0,2,2,3,0,0,0,0,7,+6
