DET,CHI,2
DET
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. GrantJ. GrantSF,31,4-13,0-3,1-2,2,3,5,1,2,4,4,2,9,-10
S. BeyS. BeySF,34,8-16,1-5,3-3,2,14,16,1,1,1,4,1,20,-6
I. StewartI. StewartC,24,3-7,0-0,0-0,3,9,12,0,0,0,1,1,6,-12
F. JacksonF. JacksonPG,20,2-10,1-4,0-0,0,1,1,1,0,0,1,2,5,-15
K. HayesK. HayesPG,19,1-5,0-2,0-0,0,1,1,3,1,0,1,3,2,-11
K. OlynykK. OlynykPF,19,4-8,0-2,2-4,1,4,5,1,1,1,1,1,10,-14
T. LylesT. LylesPF,19,4-7,3-5,1-2,1,4,5,0,0,1,2,1,12,+1
J. PickettJ. PickettPF,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+2
L. GarzaL. GarzaC,6,1-2,0-1,1-2,1,1,2,1,2,0,0,1,3,+10
C. JosephC. JosephPG,21,2-7,0-2,1-2,1,0,1,3,0,1,1,0,5,+3
S. LeeS. LeePG,10,1-3,0-0,0-0,0,1,1,0,1,0,1,0,2,-5
J. JacksonJ. JacksonSG,16,2-5,0-3,0-0,0,2,2,2,1,0,3,2,4,-11
H. DialloH. DialloSG,14,2-4,0-1,0-0,0,0,0,1,0,0,1,3,4,-9
R. McGruderR. McGruderG,4,0-1,0-0,0-0,0,2,2,0,0,0,0,0,0,+2
CHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P. WilliamsP. WilliamsPF,30,4-7,1-3,0-0,0,4,4,1,0,0,1,0,9,+6
D. DeRozanD. DeRozanSF,34,7-18,0-1,7-9,1,5,6,6,0,2,2,2,21,+19
N. VucevicN. VucevicC,33,6-16,1-4,2-2,2,17,19,3,2,3,2,3,15,+11
L. BallL. BallPG,38,5-12,3-7,0-0,0,4,4,1,3,4,2,3,13,+11
Z. LaVineZ. LaVineSG,33,6-18,2-6,0-0,0,4,4,5,0,0,2,1,14,+11
A. JohnsonA. JohnsonF,6,0-0,0-0,0-0,0,0,0,0,1,0,0,1,0,0
J. GreenJ. GreenSF,18,3-3,2-2,2-2,0,4,4,1,0,0,1,5,10,+4
T. Brown Jr.T. Brown Jr.SF,11,0-3,0-1,1-2,0,0,0,0,1,0,0,1,1,+5
A. CarusoA. CarusoSG,27,3-4,2-2,4-4,0,0,0,4,5,1,2,1,12,+9
A. DosunmuA. DosunmuSG,11,1-3,0-0,0-0,0,1,1,3,1,1,0,0,2,-1
