NO,MIN,2
NO
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
B. IngramB. IngramSF,40,12-23,3-7,3-5,3,3,6,4,1,0,7,4,30,+2
H. JonesH. JonesSF,29,1-6,0-1,0-0,6,2,8,2,0,1,3,2,2,+7
J. ValanciunasJ. ValanciunasC,36,6-10,0-0,8-8,3,14,17,2,3,1,1,5,20,-6
D. GrahamD. GrahamPG,35,2-14,1-10,6-8,0,3,3,2,2,0,3,2,11,-4
N. Alexander-WalkerN. Alexander-WalkerSG,36,6-24,2-13,0-0,6,8,14,2,2,0,5,1,14,-5
G. TempleG. TempleSF,15,1-1,1-1,0-0,2,3,5,0,0,2,1,1,3,-20
N. MarshallN. MarshallSF,4,0-1,0-1,0-0,1,0,1,1,0,0,3,2,0,-11
J. HayesJ. HayesC,12,1-3,0-0,1-2,0,2,2,0,1,1,1,2,3,-1
K. Lewis Jr.K. Lewis Jr.PG,11,0-2,0-2,0-0,0,0,0,2,0,0,4,0,0,-1
T. Murphy IIIT. Murphy IIISG,22,2-5,2-5,0-0,0,5,5,0,1,0,0,3,6,+4
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. McDanielsJ. McDanielsPF,27,2-7,0-2,0-0,3,3,6,0,0,2,1,4,4,+2
J. OkogieJ. OkogieSF,18,0-1,0-0,0-2,1,4,5,3,2,0,0,3,0,+8
A. EdwardsA. EdwardsSF,37,8-22,3-8,0-0,3,6,9,5,1,1,1,1,19,+10
K. TownsK. TownsC,29,10-20,3-6,2-2,1,3,4,2,0,3,5,6,25,+5
D. RussellD. RussellPG,29,5-14,2-7,0-0,1,2,3,1,0,0,7,1,12,+9
T. PrinceT. PrincePF,16,1-3,1-2,0-2,0,1,1,1,1,0,1,2,3,+9
J. VanderbiltJ. VanderbiltPF,13,2-3,0-0,0-0,2,6,8,1,3,0,1,1,4,-7
N. ReidN. ReidC,19,4-12,2-6,2-2,1,2,3,0,3,1,1,5,12,+2
P. BeverleyP. BeverleyPG,22,2-6,1-5,0-0,1,2,3,6,1,1,1,2,5,-6
J. McLaughlinJ. McLaughlinPG,12,2-3,0-1,2-2,0,2,2,1,2,0,0,0,6,+5
M. BeasleyM. BeasleySG,19,3-5,0-1,0-0,0,3,3,2,0,0,1,0,6,-2
