PHX,POR,2
PHX
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CrowderJ. CrowderPF,24,2-7,1-4,2-2,1,3,4,1,1,0,3,1,7,-18
M. BridgesM. BridgesSF,26,5-9,4-5,0-0,0,2,2,1,0,0,0,0,14,-13
D. AytonD. AytonC,26,3-6,0-0,2-4,1,2,3,1,0,1,1,3,8,-23
C. PaulC. PaulPG,26,2-5,0-2,0-0,0,2,2,11,1,0,1,0,4,-29
D. BookerD. BookerSG,28,9-19,2-5,1-2,1,3,4,4,2,0,0,1,21,-15
F. KaminskyF. KaminskyPF,10,1-4,0-2,0-0,2,3,5,0,0,0,1,0,2,+4
J. SmithJ. SmithPF,10,2-3,0-0,1-1,0,1,1,0,0,0,0,2,5,+4
A. NaderA. NaderSF,18,2-7,0-3,2-2,0,3,3,0,1,0,0,0,6,-8
C. JohnsonC. JohnsonSF,15,2-4,1-3,0-0,0,1,1,1,0,0,0,1,5,-15
C. HutchisonC. HutchisonSF,6,1-1,0-0,0-0,0,2,2,0,0,0,2,1,2,+5
J. McGeeJ. McGeeC,11,6-9,0-0,0-2,1,3,4,0,0,0,1,3,12,-5
E. PaytonE. PaytonPG,25,6-11,0-1,2-2,1,3,4,6,1,0,3,2,14,-10
L. ShametL. ShametSG,17,2-4,1-3,0-0,0,3,3,2,0,0,2,5,5,-22
POR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. CovingtonR. CovingtonPF,26,2-4,2-4,0-0,1,5,6,0,1,1,0,2,6,+25
N. PowellN. PowellSF,12,6-8,2-4,2-2,0,2,2,0,0,0,0,0,16,+16
J. NurkicJ. NurkicC,25,4-7,0-2,1-2,1,11,12,3,2,0,2,1,9,+30
D. LillardD. LillardPG,24,6-11,2-7,5-5,0,1,1,8,0,0,2,1,19,+18
C. McCollumC. McCollumSG,30,10-19,6-11,2-2,0,3,3,1,1,3,2,1,28,+20
L. Nance Jr.L. Nance Jr.PF,22,3-3,2-2,0-0,0,2,2,0,2,1,0,0,8,+15
BrownBrown PF,6,2-6,0-3,0-2,2,1,3,1,0,0,0,1,4,-5
N. LittleN. LittleSF,27,5-10,1-4,0-2,3,4,7,2,1,0,0,1,11,+8
C. ZellerC. ZellerC,13,2-2,0-0,1-2,0,4,4,1,0,0,0,4,5,-6
D. Smith Jr.D. Smith Jr.PG,15,1-1,0-0,0-0,0,2,2,5,1,0,2,0,2,+10
B. McLemoreB. McLemoreSG,6,2-4,2-4,0-0,0,0,0,1,0,0,0,0,6,-5
A. SimonsA. SimonsSG,24,7-14,4-8,0-0,1,2,3,1,0,0,1,2,18,+25
C. EllebyC. EllebySG,8,1-5,0-1,0-0,0,3,3,1,0,0,0,2,2,-6
