MEM,LAC,2
MEM
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. Jackson Jr.J. Jackson Jr.PF,31,6-11,3-5,6-6,1,6,7,0,1,1,1,4,21,+10
S. AdamsS. AdamsC,27,6-9,0-0,5-5,5,4,9,5,2,0,1,0,17,+17
J. MorantJ. MorantPG,35,10-19,2-7,6-8,0,2,2,8,1,0,5,3,28,+12
D. BaneD. BaneSG,31,7-15,4-10,1-2,0,6,6,2,0,1,1,4,19,+12
D. MeltonD. MeltonSG,33,9-16,4-8,0-0,2,5,7,2,0,0,0,2,22,+15
B. ClarkeB. ClarkePF,21,1-4,0-0,1-2,2,4,6,2,0,0,0,2,3,-9
K. AndersonK. AndersonSF,17,1-9,0-1,2-2,3,4,7,1,1,1,0,0,4,-6
T. JonesT. JonesPG,13,0-3,0-1,0-0,0,3,3,3,0,0,0,2,0,-6
J. KoncharJ. KoncharSG,17,0-0,0-0,0-0,0,1,1,1,0,0,1,0,0,-5
Z. WilliamsZ. WilliamsSG,16,2-4,2-4,0-0,0,0,0,2,0,0,2,2,6,-10
LAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
M. Morris Sr.M. Morris Sr.SF,30,4-11,1-6,0-0,0,0,0,1,0,0,0,4,9,-14
I. ZubacI. ZubacC,19,3-7,0-0,0-0,4,4,8,3,0,0,0,2,6,-18
R. JacksonR. JacksonPG,36,7-17,3-8,0-0,0,1,1,2,1,0,0,3,17,-8
E. BledsoeE. BledsoeSG,33,3-11,1-2,5-6,5,1,6,7,2,2,2,2,12,-13
P. GeorgeP. GeorgeSG,35,15-25,5-12,6-6,0,10,10,4,2,0,3,2,41,-14
N. BatumN. BatumPF,23,2-6,1-5,0-0,0,5,5,2,0,2,0,0,5,+5
I. HartensteinI. HartensteinC,16,5-7,0-0,1-1,1,3,4,1,2,0,1,1,11,+9
T. MannT. MannSG,26,1-8,0-2,1-2,4,4,8,3,0,0,1,3,3,+15
L. KennardL. KennardSG,22,3-7,2-4,2-2,0,2,2,0,0,0,0,4,10,+8
