CHA,BKN,2
CHA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. HaywardG. HaywardSF,33,4-11,0-4,0-0,0,3,3,6,0,0,5,3,8,+14
M. BridgesM. BridgesSF,35,9-16,3-5,11-12,4,5,9,2,2,1,0,2,32,+20
M. PlumleeM. PlumleeC,28,2-2,0-0,1-4,0,6,6,2,3,2,1,1,5,-3
L. BallL. BallPG,26,8-18,1-6,1-1,0,5,5,5,0,1,0,3,18,+13
K. Oubre Jr.K. Oubre Jr.SG,23,4-13,1-5,0-0,4,4,8,1,1,0,1,4,9,+13
J. McDanielsJ. McDanielsPF,12,3-3,1-1,0-0,2,1,3,0,0,0,1,1,7,0
P.J. WashingtonP.J. WashingtonPF,26,2-6,1-5,0-0,0,6,6,1,2,0,2,2,5,+15
K. JonesK. JonesPF,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
J. ThorJ. ThorPF,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
C. MartinC. MartinSF,32,4-8,2-3,2-2,0,3,3,5,1,0,1,1,12,+5
N. RichardsN. RichardsC,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
V. Carey Jr.V. Carey Jr.C,1,0-1,0-0,0-0,0,1,1,0,0,0,0,0,0,0
I. SmithI. SmithPG,21,7-16,1-1,0-0,0,4,4,4,1,1,1,0,15,+3
J. BouknightJ. BouknightSG,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. DurantK. DurantPF,36,17-24,2-6,2-2,1,4,5,3,1,0,3,0,38,-10
N. ClaxtonN. ClaxtonPF,18,1-3,0-0,3-4,1,3,4,1,0,1,2,1,5,-9
J. HarrisJ. HarrisSF,28,3-6,1-3,0-0,1,3,4,0,0,0,1,5,7,-17
J. CarterJ. CarterPG,26,1-7,1-5,0-0,0,2,2,1,2,1,0,3,3,-20
J. HardenJ. HardenSG,33,6-16,2-8,1-1,2,5,7,8,1,1,8,5,15,-15
P. MillsapP. MillsapPF,8,1-3,1-2,2-2,0,3,3,3,2,0,0,2,5,+12
J. JohnsonJ. JohnsonPF,5,0-1,0-1,0-0,0,0,0,0,1,1,0,0,0,-2
B. BrownB. BrownSF,27,3-9,1-3,1-2,1,6,7,0,2,2,1,1,8,-7
L. AldridgeL. AldridgeC,22,4-7,0-0,1-1,3,5,8,0,1,2,2,2,9,+5
D. SharpeD. SharpeC,1,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,-2
P. MillsP. MillsPG,32,2-10,1-6,0-0,0,4,4,2,0,0,0,0,5,-11
D. BembryD. BembrySG,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-2
C. ThomasC. ThomasSG,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-2
