DET,ATL,2
DET
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. OlynykK. OlynykPF,30,8-15,2-5,3-5,3,3,6,4,2,0,3,1,21,-6
S. BeyS. BeySF,33,8-16,3-8,2-2,2,5,7,3,2,0,2,1,21,-9
I. StewartI. StewartC,29,6-9,0-0,1-1,3,4,7,5,1,3,2,3,13,-6
K. HayesK. HayesPG,27,4-11,2-3,2-2,0,1,1,3,1,1,0,2,12,-6
J. JacksonJ. JacksonSG,32,7-12,1-4,3-4,1,5,6,4,0,0,1,0,18,-2
T. LylesT. LylesPF,21,2-7,0-1,4-4,2,2,4,2,0,1,1,0,8,-7
J. PickettJ. PickettPF,3,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0,+5
L. GarzaL. GarzaC,13,1-2,0-1,0-0,0,2,2,0,0,1,1,4,2,-22
C. JosephC. JosephPG,16,0-5,0-2,0-0,0,0,0,3,0,0,1,2,0,-17
F. JacksonF. JacksonPG,14,2-7,0-4,0-0,0,0,0,0,0,0,2,1,4,-21
S. LeeS. LeePG,7,0-2,0-1,0-0,0,1,1,0,0,0,0,1,0,+5
H. DialloH. DialloSG,11,1-3,0-2,0-0,0,2,2,1,1,0,0,0,2,-9
R. McGruderR. McGruderG,3,1-2,1-2,0-0,0,0,0,1,0,0,0,0,3,+5
ATL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CollinsJ. CollinsPF,24,9-14,1-3,3-5,1,6,7,2,2,1,4,4,22,+12
C. CapelaC. CapelaC,26,2-3,0-0,0-0,1,7,8,0,2,1,0,1,4,+11
T. YoungT. YoungPG,32,13-21,2-5,4-4,0,4,4,9,1,0,2,2,32,+17
B. BogdanovicB. BogdanovicSG,25,5-9,2-6,2-2,1,2,3,1,0,0,0,1,14,+6
K. HuerterK. HuerterSG,27,5-8,2-3,2-2,0,1,1,4,1,0,1,2,14,+12
S. HillS. HillSF,14,0-3,0-3,0-0,1,1,2,2,0,0,1,3,0,+12
C. ReddishC. ReddishSF,27,5-14,3-7,4-4,1,3,4,1,3,0,2,2,17,+6
J. JohnsonJ. JohnsonSF,3,1-1,0-0,0-0,0,1,1,0,0,0,0,0,2,-5
G. DiengG. DiengC,16,2-5,1-1,1-2,4,8,12,2,0,0,1,4,6,+16
S. CooperS. CooperPG,3,0-0,0-0,0-0,0,0,0,1,0,0,1,0,0,-5
L. WilliamsL. WilliamsSG,17,3-6,1-2,2-2,0,2,2,2,1,1,1,0,9,+12
D. WrightD. WrightSG,18,1-3,0-1,0-0,1,3,4,0,1,0,0,0,2,+6
T. Luwawu-CabarrotT. Luwawu-CabarrotSG,3,0-3,0-1,0-0,0,1,1,0,0,0,0,0,0,-5
S. MaysS. MaysSG,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-5
