ORL,MIA,2
ORL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
F. WagnerF. WagnerSF,27,6-13,2-7,1-2,0,2,2,4,1,1,0,2,15,-5
W. Carter Jr.W. Carter Jr.C,28,3-7,1-5,2-2,3,6,9,1,0,1,2,2,9,-2
M. BambaM. BambaC,28,4-8,1-4,2-2,2,3,5,0,2,1,1,4,11,-18
C. AnthonyC. AnthonyPG,32,5-13,1-5,1-2,0,9,9,5,2,0,3,0,12,-5
J. SuggsJ. SuggsSG,28,5-12,4-8,1-2,0,4,4,2,1,0,5,5,15,-11
I. BrazdeikisI. BrazdeikisSF,9,0-2,0-2,0-0,0,1,1,1,0,0,0,2,0,+3
R. LopezR. LopezC,11,4-5,0-0,3-5,1,0,1,0,0,1,0,0,11,-4
M. WagnerM. WagnerC,11,1-3,1-3,0-0,0,2,2,0,0,1,0,1,3,-7
R.J. HamptonR.J. HamptonPG,26,4-8,2-3,2-4,0,6,6,4,1,1,1,2,12,-12
T. RossT. RossSG,22,0-7,0-6,0-0,0,0,0,2,0,0,3,2,0,-21
G. HarrisG. HarrisSG,19,1-3,0-1,0-0,0,0,0,2,0,0,1,2,2,-3
MIA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P.J. TuckerP.J. TuckerPF,21,0-4,0-2,0-0,0,1,1,0,0,0,0,1,0,+7
J. ButlerJ. ButlerSF,33,15-21,0-0,6-6,0,3,3,2,5,0,1,2,36,+8
B. AdebayoB. AdebayoC,29,4-9,0-0,8-8,3,10,13,2,1,0,0,1,16,+8
K. LowryK. LowryPG,31,4-11,1-6,0-0,1,1,2,8,1,0,3,4,9,+12
D. RobinsonD. RobinsonSG,27,3-10,2-8,2-2,0,5,5,3,0,0,2,2,10,+2
M. MorrisM. MorrisPF,25,7-11,1-4,1-1,1,2,3,1,1,1,0,3,16,+11
K. OkpalaK. OkpalaSF,2,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,-1
D. DedmonD. DedmonC,17,1-3,0-0,0-0,4,4,8,1,2,1,1,3,2,+10
O. YurtsevenO. YurtsevenC,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-1
G. VincentG. VincentPG,2,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,-1
T. HerroT. HerroPG,30,5-12,1-3,2-2,0,5,5,9,0,0,3,1,13,+19
M. StrusM. StrusSG,20,2-6,1-4,0-0,0,1,1,1,0,0,0,2,5,+12
M. GarrettM. GarrettSG,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-1
