CLE,DEN,2
CLE
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
L. MarkkanenL. MarkkanenPF,27,4-12,2-8,2-2,0,4,4,2,4,1,1,1,12,+10
J. AllenJ. AllenC,37,10-11,0-0,1-3,5,11,16,2,0,0,0,1,21,+5
E. MobleyE. MobleyC,26,4-8,0-0,2-2,3,5,8,2,0,1,3,3,10,+16
C. SextonC. SextonPG,25,4-11,3-5,3-4,0,3,3,2,0,0,1,3,14,+10
D. GarlandD. GarlandPG,31,4-9,1-3,0-0,1,2,3,7,1,0,3,1,9,+12
K. LoveK. LovePF,21,8-13,1-4,5-5,1,5,6,0,0,0,1,0,22,+5
D. WadeD. WadePF,2,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,-4
L. StevensL. StevensF,2,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,-4
C. OsmanC. OsmanSF,11,0-1,0-1,0-0,0,2,2,1,0,0,1,2,0,+6
I. OkoroI. OkoroSF,28,2-5,0-0,0-0,1,1,2,2,2,2,1,2,4,+8
R. RubioR. RubioPG,25,2-10,0-3,3-4,0,4,4,8,1,1,2,5,7,+8
D. ValentineD. ValentineSG,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-4
D. WindlerD. WindlerSG,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-4
K. PangosK. PangosG,2,0-1,0-1,0-0,0,0,0,0,0,0,1,0,0,-4
DEN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
A. GordonA. GordonPF,28,5-14,1-5,1-2,3,6,9,1,0,0,3,2,12,-7
W. BartonW. BartonSF,31,5-9,1-4,1-2,1,1,2,1,2,2,2,0,12,-12
M. Porter Jr.M. Porter Jr.SF,27,4-14,3-9,0-0,2,3,5,3,1,1,2,2,11,-10
N. JokicN. JokicC,35,9-15,1-4,5-6,3,16,19,3,3,0,6,3,24,-12
M. MorrisM. MorrisPG,27,1-4,0-1,0-0,0,2,2,6,0,0,2,2,2,-4
Je. GreenJe. GreenPF,18,2-7,0-3,1-2,0,1,1,0,0,0,1,3,5,-4
Ja. GreenJa. GreenPF,10,1-4,0-3,0-0,0,1,1,0,0,0,2,3,2,-5
Z. NnajiZ. NnajiPF,3,1-1,1-1,0-0,0,0,0,0,0,0,0,0,3,+5
P. CornelieP. CornelieF,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+5
B. BolB. BolC,3,1-2,0-0,0-0,0,1,1,0,0,0,0,0,2,+5
F. CampazzoF. CampazzoPG,18,1-4,1-4,0-0,1,1,2,3,1,0,1,3,3,-11
M. HowardM. HowardPG,3,0-0,0-0,0-0,0,0,0,0,1,0,1,0,0,+5
B. HylandB. HylandPG,10,3-5,1-3,0-0,0,2,2,2,1,0,0,2,7,+3
A. RiversA. RiversSG,14,1-4,0-0,0-0,1,1,2,1,0,0,1,0,2,-5
P.J. DozierP.J. DozierSG,10,1-3,0-1,0-0,0,1,1,1,1,0,0,2,2,-13
