DEN,UTAH,2
DEN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
A. GordonA. GordonPF,34,9-13,0-3,2-4,1,6,7,1,1,1,4,5,20,-1
W. BartonW. BartonSF,37,9-16,1-3,2-4,0,4,4,3,1,1,4,2,21,+3
M. Porter Jr.M. Porter Jr.SF,39,5-18,3-11,0-0,1,8,9,2,2,0,1,3,13,+2
N. JokicN. JokicC,15,8-9,3-3,5-7,1,5,6,6,0,0,1,1,24,+7
M. MorrisM. MorrisPG,35,8-13,3-3,0-0,0,0,0,4,1,0,1,2,19,-3
Je. GreenJe. GreenPF,21,2-5,0-2,4-5,0,2,2,1,0,1,0,3,8,-11
Ja. GreenJa. GreenPF,19,0-2,0-2,0-0,1,2,3,1,3,0,1,2,0,-12
F. CampazzoF. CampazzoPG,19,0-1,0-0,3-4,0,2,2,1,1,0,0,2,3,-17
A. RiversA. RiversSG,6,0-2,0-1,0-0,0,0,0,0,0,0,0,0,0,-10
P.J. DozierP.J. DozierSG,17,1-4,0-0,0-0,1,1,2,0,0,0,1,3,2,-18
UTAH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. O'NealeR. O'NealePF,31,2-5,1-4,0-0,1,2,3,2,1,1,0,2,5,-4
B. BogdanovicB. BogdanovicSF,29,5-14,1-5,4-4,1,1,2,0,1,0,0,1,15,-4
R. GobertR. GobertC,33,7-8,0-0,9-16,3,13,16,0,0,1,4,4,23,+10
M. ConleyM. ConleyPG,30,6-9,3-5,0-0,0,2,2,5,1,1,2,0,15,+12
D. MitchellD. MitchellSG,34,9-20,1-9,3-3,0,2,2,6,1,0,5,4,22,-4
E. PaschallE. PaschallPF,14,0-1,0-1,0-0,1,3,4,2,0,0,1,0,0,+16
H. WhitesideH. WhitesideC,15,4-6,0-0,2-2,1,3,4,0,0,1,1,4,10,+2
J. ClarksonJ. ClarksonPG,24,7-15,3-10,2-2,1,2,3,1,0,0,0,2,19,+19
J. InglesJ. InglesSG,28,4-6,3-5,2-2,0,5,5,4,1,1,0,3,13,+16
J. ButlerJ. ButlerSG,2,0-1,0-0,0-0,0,0,0,0,0,1,0,2,0,-3
