CHA,ORL,2
CHA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. HaywardG. HaywardSF,37,9-13,2-3,4-4,0,5,5,5,2,1,4,2,24,-4
M. BridgesM. BridgesSF,35,11-21,5-10,4-5,1,5,6,0,0,1,3,2,31,-8
M. PlumleeM. PlumleeC,32,6-8,0-0,2-3,6,4,10,4,1,1,3,4,14,-12
L. BallL. BallPG,24,3-14,1-5,0-0,2,4,6,3,3,0,3,2,7,-7
K. Oubre Jr.K. Oubre Jr.SG,28,1-7,0-5,2-2,0,2,2,0,0,0,0,0,4,-5
J. McDanielsJ. McDanielsPF,22,5-6,4-5,2-4,0,4,4,3,2,1,1,3,16,+24
C. MartinC. MartinSF,30,2-3,2-2,6-6,0,2,2,5,4,0,1,1,12,+27
N. RichardsN. RichardsC,8,2-2,0-0,0-0,1,2,3,0,0,0,0,0,4,+14
I. SmithI. SmithPG,24,4-9,0-0,0-0,0,2,2,2,2,0,1,0,8,+16
ORL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
F. WagnerF. WagnerSF,32,5-7,3-4,2-2,0,1,1,1,1,1,1,3,15,+6
W. Carter Jr.W. Carter Jr.C,33,8-15,2-5,2-2,2,8,10,2,1,0,1,4,20,-12
M. BambaM. BambaC,32,5-9,2-4,2-2,5,5,10,3,1,1,1,1,14,+10
C. AnthonyC. AnthonyPG,35,11-20,2-7,0-0,0,5,5,6,1,0,3,2,24,+10
J. SuggsJ. SuggsSG,36,3-11,0-5,2-4,0,5,5,4,1,0,4,3,8,+4
M. WagnerM. WagnerC,10,1-3,1-2,1-2,0,1,1,1,0,0,0,0,4,-15
R.J. HamptonR.J. HamptonPG,10,0-2,0-1,0-0,0,0,0,2,0,0,2,3,0,-18
T. RossT. RossSG,30,7-15,4-8,0-0,1,0,1,1,0,0,1,3,18,-8
G. HarrisG. HarrisSG,23,3-6,1-4,1-1,0,0,0,2,1,0,5,2,8,-22
