WSH,BOS,2
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,33,4-11,1-5,3-6,3,5,8,2,2,1,1,4,12,-2
D. GaffordD. GaffordC,7,1-1,0-0,1-3,1,3,4,0,1,1,1,0,3,-3
S. DinwiddieS. DinwiddiePG,30,8-16,2-5,4-4,0,3,3,3,1,0,2,3,22,-2
B. BealB. BealSG,35,7-25,0-6,3-3,3,7,10,2,3,1,5,3,17,0
K. Caldwell-PopeK. Caldwell-PopeSG,31,4-6,3-4,0-0,0,2,2,2,0,0,0,2,11,+2
D. BertansD. BertansSF,18,3-3,1-1,0-0,0,3,3,1,0,0,1,2,7,+2
C. KispertC. KispertSF,12,0-1,0-1,2-2,0,2,2,2,1,0,1,0,2,+9
D. AvdijaD. AvdijaSF,17,2-2,1-1,3-4,0,2,2,2,0,1,0,2,8,+7
M. HarrellM. HarrellC,38,10-13,0-0,5-7,4,7,11,1,0,2,1,1,25,+21
A. HolidayA. HolidayPG,19,4-6,1-2,0-0,0,2,2,3,0,1,3,3,9,+11
BOS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TatumJ. TatumSF,36,9-22,1-8,4-8,1,6,7,2,0,0,2,2,23,-8
A. HorfordA. HorfordC,26,7-12,2-4,0-0,3,8,11,4,1,1,1,2,16,-2
R. Williams IIIR. Williams IIIC,30,6-8,0-0,1-2,5,6,11,1,1,4,1,2,13,-9
M. SmartM. SmartPG,36,1-7,1-5,4-4,0,2,2,3,3,0,3,5,7,+3
J. BrownJ. BrownSG,37,5-16,1-4,2-2,0,4,4,1,0,0,3,3,13,-8
J. ParkerJ. ParkerPF,9,3-3,1-1,0-0,0,0,0,0,1,0,0,2,7,-4
G. WilliamsG. WilliamsPF,16,0-2,0-1,6-6,0,0,0,0,0,0,0,2,6,-1
SchröderSchröder PG,34,6-15,4-6,6-6,1,0,1,6,2,0,3,2,22,-8
J. RichardsonJ. RichardsonSG,15,0-0,0-0,0-0,0,1,1,1,1,0,0,1,0,-8
