MIA,BKN,2
MIA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P.J. TuckerP.J. TuckerPF,32,5-10,3-5,2-3,4,3,7,2,0,0,0,3,15,+24
J. ButlerJ. ButlerSF,37,6-18,0-0,5-6,4,10,14,7,4,1,3,3,17,+12
B. AdebayoB. AdebayoC,30,8-17,0-0,8-9,1,8,9,0,0,0,2,3,24,+1
K. LowryK. LowryPG,34,3-8,1-5,2-2,0,6,6,9,0,0,3,2,9,+7
D. RobinsonD. RobinsonSG,32,2-7,2-7,0-0,0,5,5,1,0,1,1,3,6,+13
M. MorrisM. MorrisPF,14,1-3,0-1,0-0,0,3,3,0,0,0,1,3,2,-6
C. MartinC. MartinSF,1,1-1,0-0,0-0,0,0,0,0,0,0,0,0,2,0
K. OkpalaK. OkpalaSF,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
D. DedmonD. DedmonC,17,6-9,0-0,2-2,6,3,9,0,1,0,1,1,14,+12
O. YurtsevenO. YurtsevenC,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
G. VincentG. VincentPG,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
T. HerroT. HerroPG,27,5-17,1-6,3-4,2,6,8,2,0,0,3,0,14,+1
M. StrusM. StrusSG,13,1-6,1-5,0-0,0,1,1,0,1,0,0,1,3,+1
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. DurantK. DurantPF,37,9-18,2-4,5-6,0,11,11,2,1,2,5,1,25,-14
B. GriffinB. GriffinPF,19,2-6,1-4,1-1,0,4,4,2,0,0,0,2,6,+3
J. HarrisJ. HarrisSF,34,5-15,5-11,0-0,0,3,3,0,1,1,1,5,15,-22
B. BrownB. BrownSF,35,5-8,2-3,0-0,1,4,5,1,3,0,1,4,12,-3
J. HardenJ. HardenSG,36,4-12,3-8,3-3,0,7,7,7,1,1,4,3,14,-12
P. MillsapP. MillsapPF,15,2-5,1-3,2-2,0,4,4,2,0,0,1,3,7,-6
L. AldridgeL. AldridgeC,12,3-5,0-1,0-0,1,2,3,0,0,1,1,2,6,-8
D. SharpeD. SharpeC,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+2
P. MillsP. MillsPG,31,1-9,0-6,2-2,2,1,3,5,0,0,1,1,4,-9
J. CarterJ. CarterPG,6,0-2,0-2,0-0,0,1,1,1,0,0,0,0,0,+1
D. BembryD. BembrySG,13,2-5,0-1,0-0,0,1,1,1,1,2,1,3,4,+1
C. ThomasC. ThomasSG,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+2
