ATL,NO,2
ATL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CollinsJ. CollinsPF,25,8-11,0-1,0-0,7,5,12,4,0,0,1,4,16,+15
D. HunterD. HunterSF,29,5-10,1-1,2-2,1,1,2,0,1,0,2,1,13,-2
C. CapelaC. CapelaC,29,2-8,0-0,1-2,5,7,12,1,1,3,2,3,5,-7
T. YoungT. YoungPG,36,13-27,2-6,3-3,1,4,5,7,0,0,3,0,31,-8
B. BogdanovicB. BogdanovicSG,31,4-12,2-6,2-2,1,2,3,3,0,1,0,2,12,-9
D. GallinariD. GallinariPF,20,3-8,1-4,2-4,2,5,7,0,1,0,0,1,9,+8
C. ReddishC. ReddishSF,24,1-5,1-4,2-2,0,1,1,2,1,0,2,2,5,+3
G. DiengG. DiengC,10,0-2,0-2,2-2,1,4,5,0,0,0,1,1,2,-2
D. WrightD. WrightSG,12,3-5,1-1,0-0,3,2,5,3,0,0,0,0,7,+11
K. HuerterK. HuerterSG,24,1-8,0-5,0-0,0,3,3,1,0,0,0,0,2,+6
NO
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
B. IngramB. IngramSF,39,8-21,3-7,1-1,1,7,8,4,1,2,2,3,20,-11
H. JonesH. JonesSF,22,3-4,1-1,1-2,0,1,1,1,0,1,1,4,8,-6
J. ValanciunasJ. ValanciunasC,36,6-14,0-0,4-4,6,9,15,3,1,1,2,2,16,+13
D. GrahamD. GrahamPG,32,8-17,5-10,0-0,1,4,5,6,1,0,0,2,21,+5
N. Alexander-WalkerN. Alexander-WalkerSG,30,3-14,0-7,0-0,0,3,3,3,0,1,0,1,6,-3
G. TempleG. TempleSF,9,3-4,0-1,0-0,0,0,0,0,1,0,0,2,6,+7
N. MarshallN. MarshallSF,19,0-4,0-4,0-0,0,6,6,4,1,0,1,2,0,-3
J. HayesJ. HayesC,11,3-3,0-0,2-2,0,2,2,0,0,1,0,0,8,-14
K. Lewis Jr.K. Lewis Jr.PG,16,3-5,0-2,0-0,0,1,1,3,0,0,1,2,6,-8
T. Murphy IIIT. Murphy IIISG,26,3-7,2-4,0-0,1,2,3,0,0,0,2,1,8,+5
