MIN,MIL,2
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. VanderbiltJ. VanderbiltPF,30,4-6,0-0,2-2,6,7,13,3,1,0,1,3,10,-9
J. McDanielsJ. McDanielsPF,32,1-3,1-3,0-0,1,10,11,2,0,1,2,4,3,+12
A. EdwardsA. EdwardsSF,33,9-24,2-10,5-6,1,6,7,3,1,0,2,2,25,-2
K. TownsK. TownsC,38,9-13,3-5,4-5,1,2,3,5,1,3,7,1,25,+7
D. RussellD. RussellPG,36,12-25,3-11,2-3,0,5,5,6,0,0,3,3,29,+3
T. PrinceT. PrincePF,16,1-4,0-3,0-0,0,1,1,0,0,0,0,1,2,+12
N. ReidN. ReidC,10,3-4,0-1,1-1,1,0,1,0,0,0,1,2,7,-2
P. BeverleyP. BeverleyPG,21,2-6,2-6,0-0,0,6,6,7,1,0,1,2,6,+3
J. McLaughlinJ. McLaughlinPG,5,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0,-6
M. BeasleyM. BeasleySG,17,2-6,2-6,0-0,0,2,2,3,1,0,0,1,6,+7
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. AntetokounmpoG. AntetokounmpoPF,35,15-23,3-6,7-9,4,12,16,7,0,3,2,1,40,+9
K. MiddletonK. MiddletonSF,34,6-16,1-8,3-4,2,3,5,5,3,0,1,4,16,-4
G. HillG. HillPG,30,3-7,1-3,2-2,1,1,2,4,3,0,1,1,9,+4
P. ConnaughtonP. ConnaughtonSG,30,2-11,2-9,0-0,0,2,2,0,1,0,0,2,6,-12
G. AllenG. AllenSG,30,5-11,3-8,0-0,1,3,4,1,1,0,0,3,13,+9
S. OjeleyeS. OjeleyePF,12,0-5,0-5,0-2,1,0,1,0,1,0,0,0,0,-7
J. RobinsonJ. RobinsonF,11,0-1,0-1,0-0,0,0,0,2,0,0,2,0,0,-9
T. AntetokounmpoT. AntetokounmpoSF,8,1-3,0-0,0-0,1,0,1,1,1,0,0,2,2,-6
J. NworaJ. NworaSF,21,3-8,3-5,0-0,2,3,5,1,0,0,1,1,9,+3
B. PortisB. PortisC,15,3-7,0-3,0-0,0,3,3,0,0,0,1,3,6,-10
R. HoodR. HoodSG,13,1-3,1-3,4-4,1,3,4,1,0,0,0,1,7,-2
