DET,PHI,2
DET
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. GrantJ. GrantSF,36,4-14,1-5,5-7,3,3,6,3,4,1,1,2,14,-12
S. BeyS. BeySF,35,7-14,4-9,1-4,1,5,6,2,0,0,1,0,19,-2
I. StewartI. StewartC,18,2-5,0-1,0-0,1,2,3,3,0,1,1,3,4,-16
K. HayesK. HayesPG,32,4-11,1-4,0-0,1,4,5,4,2,1,1,1,9,-16
J. JacksonJ. JacksonSG,24,3-9,1-4,0-0,1,2,3,2,0,0,2,3,7,-18
K. OlynykK. OlynykPF,25,3-8,1-3,7-8,0,5,5,3,2,1,2,5,14,+17
T. LylesT. LylesPF,14,3-6,1-3,2-3,1,3,4,2,0,0,0,1,9,+3
L. GarzaL. GarzaC,5,2-4,2-3,0-0,0,0,0,0,0,0,0,2,6,-9
C. JosephC. JosephPG,16,3-5,0-2,3-4,0,1,1,1,2,0,1,2,9,+8
F. JacksonF. JacksonPG,23,3-7,2-5,1-1,0,1,1,1,1,0,1,1,9,+11
H. DialloH. DialloSG,11,1-3,0-0,0-0,2,1,3,1,0,0,2,2,2,-6
PHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
T. HarrisT. HarrisPF,36,7-13,1-4,2-2,1,5,6,1,0,2,2,2,17,+6
D. GreenD. GreenSF,29,0-5,0-5,0-0,0,1,1,1,2,2,0,2,0,+19
J. EmbiidJ. EmbiidC,31,8-19,1-4,13-15,5,13,18,3,1,0,4,2,30,+14
T. MaxeyT. MaxeyPG,31,6-8,2-2,2-2,0,6,6,6,0,2,4,2,16,+19
S. CurryS. CurrySG,32,4-7,2-2,2-2,0,5,5,0,0,0,1,1,12,+17
G. NiangG. NiangSF,16,3-6,2-4,0-0,0,2,2,1,0,0,2,2,8,-7
A. DrummondA. DrummondC,14,1-2,0-0,0-0,0,4,4,0,0,1,4,6,2,0
M. ThybulleM. ThybulleSG,16,2-3,1-1,0-0,0,2,2,3,3,0,0,2,5,-12
S. MiltonS. MiltonSG,16,5-10,2-3,1-1,0,1,1,5,0,1,1,2,13,-7
F. KorkmazF. KorkmazSG,18,2-3,1-2,2-2,0,1,1,2,1,1,2,2,7,-9
