SA,DAL,2
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. JohnsonK. JohnsonSF,27,4-14,1-2,1-4,1,4,5,2,2,0,0,2,10,-8
J. PoeltlJ. PoeltlC,36,7-13,0-0,0-2,6,7,13,2,1,2,1,3,14,+8
D. WhiteD. WhitePG,33,4-11,0-3,1-1,0,1,1,7,1,2,3,2,9,-2
D. MurrayD. MurrayPG,36,10-17,3-5,0-0,2,8,10,8,1,0,2,1,23,+16
L. Walker IVL. Walker IVSG,27,5-11,2-7,2-2,0,2,2,1,1,1,3,1,14,-10
D. EubanksD. EubanksPF,12,1-1,0-0,3-4,0,5,5,0,0,2,1,1,5,-13
K. Bates-DiopK. Bates-DiopSF,15,0-3,0-1,0-0,2,0,2,0,0,2,0,0,0,-9
T. JonesT. JonesPG,7,0-1,0-0,2-2,0,3,3,0,0,0,0,1,2,-11
B. ForbesB. ForbesSG,20,5-8,5-7,0-0,0,2,2,1,0,0,2,2,15,-9
D. VassellD. VassellSG,27,3-9,1-5,0-0,0,5,5,0,0,2,2,3,7,+13
DAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. Finney-SmithD. Finney-SmithPF,32,5-11,3-8,1-2,2,6,8,1,2,0,2,3,14,-6
T. Hardaway Jr.T. Hardaway Jr.SF,32,2-8,1-4,1-2,0,5,5,3,0,0,0,3,6,-23
R. BullockR. BullockSF,30,2-6,2-5,1-2,0,2,2,0,0,0,0,0,7,+10
D. PowellD. PowellC,25,5-12,0-1,1-2,2,1,3,1,1,0,3,3,11,-15
L. DoncicL. DoncicPG,34,11-19,3-8,0-3,0,3,3,5,0,1,7,3,25,-19
M. KleberM. KleberPF,29,4-8,4-8,0-0,3,7,10,2,1,6,0,5,12,+22
W. Cauley-SteinW. Cauley-SteinC,14,2-4,0-1,0-0,1,2,3,1,0,0,0,0,4,+11
J. BrunsonJ. BrunsonPG,30,8-15,3-6,0-2,1,6,7,5,0,0,0,2,19,+21
F. NtilikinaF. NtilikinaPG,14,2-6,2-4,0-0,0,4,4,0,0,0,0,0,6,+24
