CHA,MIA,2
CHA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. HaywardG. HaywardSF,37,8-15,5-8,2-2,1,5,6,4,0,1,1,1,23,-9
M. BridgesM. BridgesSF,37,9-21,2-9,2-3,1,7,8,1,2,1,4,3,22,-6
M. PlumleeM. PlumleeC,18,0-1,0-0,1-4,3,2,5,2,0,1,0,1,1,-13
L. BallL. BallPG,30,2-14,0-5,2-2,2,3,5,6,0,1,2,3,6,-11
K. Oubre Jr.K. Oubre Jr.SG,36,7-12,3-6,0-1,2,2,4,1,3,0,0,3,17,-6
J. McDanielsJ. McDanielsPF,11,0-3,0-2,2-2,0,1,1,2,0,0,0,2,2,-16
P.J. WashingtonP.J. WashingtonPF,22,3-7,1-3,2-2,2,3,5,0,2,2,3,0,9,-5
C. MartinC. MartinSF,29,4-8,2-4,5-6,0,3,3,2,1,0,0,1,15,-5
I. SmithI. SmithPG,18,2-9,0-0,0-0,0,0,0,3,0,0,1,3,4,-4
MIA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P.J. TuckerP.J. TuckerPF,23,1-5,0-4,0-0,3,3,6,0,0,0,1,3,2,-2
J. ButlerJ. ButlerSF,36,12-19,1-3,7-7,5,5,10,5,1,1,4,3,32,-1
B. AdebayoB. AdebayoC,36,10-16,0-0,6-6,4,15,19,2,2,1,5,2,26,+18
K. LowryK. LowryPG,36,2-10,0-4,0-0,0,6,6,5,1,1,2,3,4,+11
D. RobinsonD. RobinsonSG,26,4-14,2-11,0-0,1,2,3,1,1,0,0,2,10,-5
M. MorrisM. MorrisPF,20,3-9,0-2,2-2,2,1,3,1,0,0,0,3,8,+10
D. DedmonD. DedmonC,11,0-0,0-0,0-0,1,5,6,1,0,0,1,1,0,+2
T. HerroT. HerroPG,32,9-13,4-6,4-4,0,4,4,6,1,0,3,2,26,+20
M. StrusM. StrusSG,20,2-5,2-5,0-0,0,3,3,2,0,0,1,1,6,+22
