DAL,DEN,2
DAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. Finney-SmithD. Finney-SmithPF,24,0-7,0-4,2-2,1,0,1,0,1,0,4,4,2,-32
T. Hardaway Jr.T. Hardaway Jr.SF,21,1-7,1-5,0-0,0,3,3,2,2,0,2,1,3,-22
R. BullockR. BullockSF,22,2-6,1-5,0-0,0,2,2,0,0,0,0,0,5,-28
D. PowellD. PowellC,19,2-4,1-1,3-4,1,1,2,0,0,0,1,2,8,-14
L. DoncicL. DoncicPG,26,5-18,1-4,5-5,0,6,6,4,2,0,2,1,16,-32
M. KleberM. KleberPF,23,2-4,1-3,2-2,0,2,2,1,0,1,1,1,7,-13
E. OmoruyiE. OmoruyiF,9,2-4,1-2,1-2,1,2,3,1,0,0,0,1,6,0
B. MarjanovicB. MarjanovicC,3,0-1,0-0,1-2,0,0,0,0,0,0,0,2,1,-9
W. Cauley-SteinW. Cauley-SteinC,13,2-2,0-0,0-0,0,1,1,0,0,0,0,1,4,-1
M. BrownM. BrownC,9,0-0,0-0,1-4,1,3,4,0,0,0,0,0,1,0
T. BurkeT. BurkePG,16,3-8,1-3,4-4,0,1,1,1,1,0,2,0,11,-5
J. BrunsonJ. BrunsonPG,19,2-8,0-3,0-0,0,3,3,3,0,0,1,1,4,-7
F. NtilikinaF. NtilikinaPG,19,2-6,1-5,2-2,0,1,1,1,2,1,0,2,7,-2
J. GreenJ. GreenSG,17,0-3,0-2,0-0,2,5,7,1,0,1,2,1,0,+10
DEN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
A. GordonA. GordonPF,24,6-9,1-2,0-1,1,4,5,2,1,1,2,1,13,+24
W. BartonW. BartonSF,27,7-12,2-6,1-1,0,5,5,6,0,0,2,1,17,+19
M. Porter Jr.M. Porter Jr.SF,25,5-12,1-6,1-1,0,3,3,1,1,0,2,1,12,+14
N. JokicN. JokicC,25,5-9,1-3,0-0,2,14,16,8,1,0,1,4,11,+26
M. MorrisM. MorrisPG,24,4-6,0-1,0-0,0,1,1,3,0,1,1,1,8,+32
Je. GreenJe. GreenPF,16,5-7,0-0,4-6,0,3,3,1,0,0,1,4,14,+9
Ja. GreenJa. GreenPF,11,1-3,0-2,0-0,0,3,3,0,0,1,2,2,2,-1
Z. NnajiZ. NnajiPF,7,2-4,1-2,0-0,1,3,4,0,0,0,0,2,5,-2
B. BolB. BolC,7,2-4,0-1,0-0,0,2,2,1,1,0,0,2,4,-3
F. CampazzoF. CampazzoPG,18,1-2,1-2,3-4,0,3,3,0,2,0,2,1,6,-1
M. HowardM. HowardPG,7,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,0
B. HylandB. HylandPG,9,2-4,2-4,0-0,0,0,0,2,1,0,2,1,6,0
A. RiversA. RiversSG,18,1-4,1-2,0-0,0,2,2,2,0,0,2,3,3,+11
P.J. DozierP.J. DozierSG,22,2-6,1-4,0-0,1,3,4,2,1,0,2,1,5,+27
