CLE,LAL,2
CLE
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
L. MarkkanenL. MarkkanenPF,32,7-14,3-8,0-0,0,3,3,1,0,0,0,3,17,-10
J. AllenJ. AllenC,31,2-3,0-0,2-4,6,3,9,3,1,1,2,1,6,-23
E. MobleyE. MobleyC,36,10-16,1-2,2-5,2,4,6,3,2,0,0,0,23,0
C. SextonC. SextonPG,32,2-9,0-2,5-6,1,2,3,3,2,0,3,3,9,-19
D. GarlandD. GarlandPG,32,6-14,3-9,3-4,0,1,1,11,1,0,6,0,18,-5
K. LoveK. LovePF,16,2-7,0-3,0-0,0,3,3,2,0,0,1,1,4,0
D. WadeD. WadePF,2,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,0
L. StevensL. StevensF,20,1-7,1-1,0-0,4,0,4,0,1,0,0,3,3,+1
E. DavisE. DavisC,2,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,0
R. RubioR. RubioPG,32,6-15,3-8,3-3,3,3,6,4,3,0,3,2,18,-4
D. ValentineD. ValentineSG,2,1-2,1-1,0-0,0,0,0,0,0,0,0,0,3,0
D. WindlerD. WindlerSG,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
LAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
A. DavisA. DavisPF,31,7-14,1-2,0-0,2,7,9,3,1,3,2,3,15,+11
L. JamesL. JamesSF,38,10-22,1-10,5-5,1,2,3,8,3,1,7,1,26,+9
K. BazemoreK. BazemoreSF,28,2-7,0-2,0-0,0,2,2,2,4,0,0,2,4,+9
D. JordanD. JordanC,15,2-3,0-0,0-0,4,3,7,1,1,1,0,1,4,-5
R. WestbrookR. WestbrookPG,34,8-13,1-1,2-3,1,5,6,5,0,0,4,2,19,+4
C. AnthonyC. AnthonyPF,25,9-12,6-8,0-0,0,5,5,1,0,0,2,2,24,+10
D. HowardD. HowardC,20,3-4,1-1,0-0,2,2,4,2,0,0,2,1,7,+2
A. BradleyA. BradleyPG,23,3-5,1-1,0-0,1,2,3,0,0,0,0,3,7,+30
M. MonkM. MonkSG,5,0-0,0-0,0-0,0,0,0,0,0,0,2,2,0,-11
A. ReavesA. ReavesSG,21,2-4,1-2,2-2,0,3,3,2,0,1,1,3,7,+1
