ORL,DET,2
ORL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
F. WagnerF. WagnerSF,28,8-15,3-6,0-0,1,2,3,2,1,0,1,1,19,-6
W. Carter Jr.W. Carter Jr.C,17,3-9,1-1,1-2,2,4,6,2,0,1,3,3,8,-4
M. BambaM. BambaC,29,4-5,2-2,0-0,1,2,3,2,0,2,1,3,10,+2
C. AnthonyC. AnthonyPG,35,6-11,3-4,0-0,1,9,10,3,0,0,2,2,15,+15
J. SuggsJ. SuggsSG,26,3-13,0-4,4-4,2,3,5,6,2,1,2,1,10,+2
C. OkekeC. OkekePF,14,1-3,0-1,0-0,0,1,1,1,1,0,3,0,2,-14
I. BrazdeikisI. BrazdeikisSF,7,2-3,1-1,0-0,1,2,3,0,0,0,1,1,5,+4
M. WagnerM. WagnerC,17,4-7,4-6,1-4,0,5,5,1,0,0,0,5,13,+9
R.J. HamptonR.J. HamptonPG,19,4-7,1-2,2-2,1,2,3,2,0,0,0,2,11,-6
T. RossT. RossSG,25,0-5,0-3,3-3,0,3,3,1,1,2,1,1,3,-22
G. HarrisG. HarrisSG,18,2-5,0-1,0-0,2,1,3,1,0,0,3,1,4,-23
M. MulderM. MulderG,3,1-4,1-1,0-0,1,0,1,0,0,0,0,1,3,+8
DET
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. GrantJ. GrantSF,35,6-14,1-6,9-10,2,5,7,5,1,0,1,2,22,-3
S. BeyS. BeySF,34,4-17,3-8,2-2,3,4,7,1,1,1,0,2,13,-4
I. StewartI. StewartC,21,5-8,0-1,1-2,3,5,8,0,2,1,2,2,11,-6
C. CunninghamC. CunninghamPG,19,1-8,0-5,0-0,2,5,7,2,0,1,2,0,2,+1
K. HayesK. HayesPG,22,1-5,1-4,0-0,1,0,1,3,0,0,3,2,3,-8
K. OlynykK. OlynykPF,28,6-12,3-6,3-5,1,5,6,4,3,2,0,3,18,+10
T. LylesT. LylesPF,13,3-8,0-3,6-6,1,0,1,2,0,0,2,0,12,+10
C. JosephC. JosephPG,27,3-6,2-3,3-4,0,1,1,6,2,0,1,4,11,+13
F. JacksonF. JacksonPG,18,2-3,1-2,0-0,2,1,3,1,1,0,1,0,5,+1
J. JacksonJ. JacksonSG,23,5-8,3-5,0-1,2,5,7,2,2,1,1,3,13,+21
