NY,NO,2
NY
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. RandleJ. RandlePF,38,4-9,2-2,0-0,0,6,6,4,0,0,2,2,10,+2
M. RobinsonM. RobinsonC,27,3-3,0-0,2-2,1,4,5,0,0,0,1,3,8,+2
K. WalkerK. WalkerPG,32,6-11,4-7,3-4,0,4,4,5,4,0,3,1,19,+7
E. FournierE. FournierSG,37,6-14,5-8,2-2,0,1,1,2,2,1,2,1,19,+6
R. BarrettR. BarrettSG,36,12-18,6-8,5-6,0,8,8,6,0,0,1,3,35,+8
O. ToppinO. ToppinPF,10,0-1,0-1,1-2,0,2,2,1,0,2,0,1,1,+4
T. GibsonT. GibsonC,21,5-8,0-1,3-3,4,3,7,1,1,1,1,5,13,+4
D. RoseD. RosePG,15,2-6,1-2,0-0,0,1,1,1,0,0,1,0,5,-1
M. McBrideM. McBridePG,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
A. BurksA. BurksSG,13,3-6,1-2,3-4,0,3,3,1,0,0,0,2,10,-2
I. QuickleyI. QuickleySG,11,1-5,0-2,1-2,0,0,0,1,0,0,1,3,3,0
NO
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
H. JonesH. JonesSF,36,6-13,0-3,0-1,1,2,3,5,3,0,1,4,12,+7
J. ValanciunasJ. ValanciunasC,33,10-15,1-3,6-7,4,10,14,4,0,0,2,1,27,-9
D. GrahamD. GrahamPG,32,6-21,2-9,3-3,1,2,3,8,3,0,1,2,17,-3
J. HartJ. HartSG,30,6-8,2-3,2-2,1,7,8,2,0,0,1,5,16,-8
N. Alexander-WalkerN. Alexander-WalkerSG,32,5-13,3-7,0-0,4,0,4,6,0,0,0,1,13,-6
N. MarshallN. MarshallSF,11,0-2,0-1,4-4,0,2,2,0,0,0,0,3,4,-12
J. HayesJ. HayesC,15,2-4,0-1,2-2,1,4,5,1,1,2,2,2,6,+4
K. Lewis Jr.K. Lewis Jr.PG,16,5-10,1-2,1-1,0,3,3,3,0,0,2,1,12,0
T. SatoranskyT. SatoranskySG,16,1-3,1-1,0-0,0,0,0,0,0,0,1,1,3,-3
T. Murphy IIIT. Murphy IIISG,18,1-3,1-3,4-4,0,1,1,1,0,1,1,4,7,0
