MIA,MEM,2
MIA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P.J. TuckerP.J. TuckerPF,26,2-3,1-1,0-0,0,5,5,2,1,0,0,1,5,+17
J. ButlerJ. ButlerSF,30,8-12,1-2,10-11,0,5,5,7,3,0,1,0,27,+22
D. DedmonD. DedmonC,17,3-7,1-1,2-2,2,7,9,1,0,1,2,5,9,+22
K. LowryK. LowryPG,29,5-8,4-5,1-1,2,3,5,8,3,0,4,1,15,+21
D. RobinsonD. RobinsonSG,27,5-10,5-10,0-0,1,4,5,0,0,0,1,2,15,+20
U. HaslemU. HaslemPF,3,1-2,0-0,0-0,1,0,1,0,0,0,0,1,2,-1
M. MorrisM. MorrisPF,20,3-5,2-2,0-0,0,1,1,4,1,0,2,3,8,+9
C. MartinC. MartinSF,26,6-10,0-2,0-0,2,3,5,1,3,1,3,3,12,+7
K. OkpalaK. OkpalaSF,5,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,-1
O. YurtsevenO. YurtsevenC,3,1-2,0-0,0-0,1,1,2,0,0,0,1,0,2,-1
G. VincentG. VincentPG,5,0-3,0-2,0-0,0,0,0,2,0,0,0,0,0,-1
T. HerroT. HerroPG,32,8-19,4-8,2-3,2,4,6,5,0,0,3,1,22,+9
M. StrusM. StrusSG,17,4-7,3-4,1-2,0,5,5,1,1,0,1,0,12,+7
MEM
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. Jackson Jr.J. Jackson Jr.PF,24,3-12,0-8,2-2,1,2,3,1,2,2,2,3,8,-24
S. AdamsS. AdamsC,19,1-1,0-0,4-4,1,4,5,2,0,0,0,1,6,-12
J. MorantJ. MorantPG,33,7-18,1-4,5-6,1,3,4,7,2,0,3,2,20,-31
D. BaneD. BaneSG,26,6-13,5-10,0-0,1,1,2,2,1,0,2,3,17,-24
D. MeltonD. MeltonSG,27,6-12,4-7,4-4,1,2,3,5,2,1,2,3,20,-14
B. ClarkeB. ClarkePF,6,0-3,0-1,2-3,0,0,0,0,1,0,0,0,2,-1
S. AldamaS. AldamaPF,6,0-2,0-2,2-2,0,1,1,0,0,0,0,1,2,-1
K. AndersonK. AndersonSF,19,5-7,3-4,0-0,0,2,2,2,1,1,2,0,13,-4
K. TillieK. TillieSF,6,0-0,0-0,0-0,2,1,3,0,0,1,0,0,0,-1
Tillman Sr.T.  Sr.C,16,0-2,0-1,0-0,1,4,5,1,3,0,0,0,0,-9
T. JonesT. JonesPG,15,2-5,1-3,0-0,0,0,0,5,1,0,0,0,5,0
J. KoncharJ. KoncharSG,12,1-2,0-1,0-0,0,2,2,0,0,2,0,2,2,-10
S. MerrillS. MerrillSG,16,1-6,1-6,0-0,0,0,0,1,0,0,2,0,3,+9
Z. WilliamsZ. WilliamsSG,16,2-5,1-3,0-0,0,2,2,0,1,0,1,2,5,-8
