SA,MIL,2
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. JohnsonK. JohnsonSF,31,5-13,1-5,1-1,0,11,11,2,1,1,0,1,12,-6
J. PoeltlJ. PoeltlC,23,3-6,0-0,2-2,2,4,6,1,1,0,1,5,8,-1
D. WhiteD. WhitePG,33,6-12,3-8,2-6,0,2,2,4,0,1,1,1,17,-2
D. MurrayD. MurrayPG,37,9-17,1-3,4-5,0,5,5,9,3,0,2,1,23,+7
L. Walker IVL. Walker IVSG,20,1-8,1-6,1-2,0,3,3,4,1,0,4,0,4,+5
T. YoungT. YoungPF,15,5-9,0-1,0-0,5,3,8,3,2,0,0,2,10,+6
D. EubanksD. EubanksPF,9,1-3,0-0,0-0,0,1,1,1,0,1,0,0,2,+4
K. Bates-DiopK. Bates-DiopSF,17,1-1,0-0,2-2,0,3,3,1,2,0,0,0,4,+12
J. LandaleJ. LandaleC,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
T. JonesT. JonesPG,6,1-4,0-0,0-0,0,1,1,1,0,0,0,1,2,+2
B. ForbesB. ForbesSG,25,7-16,1-4,1-2,1,0,1,0,1,0,1,1,16,+4
D. VassellD. VassellSG,24,0-6,0-4,4-4,0,8,8,2,1,0,0,1,4,+14
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. AntetokounmpoG. AntetokounmpoPF,34,11-18,0-3,6-11,0,13,13,3,0,0,7,5,28,-3
K. MiddletonK. MiddletonSF,33,8-21,2-7,1-1,0,5,5,5,3,0,4,4,19,-9
T. AntetokounmpoT. AntetokounmpoSF,18,0-3,0-1,0-0,1,7,8,2,1,0,2,2,0,-3
G. HillG. HillPG,32,4-9,0-2,2-2,2,3,5,3,0,1,1,0,10,-3
G. AllenG. AllenSG,29,4-11,4-9,0-0,1,4,5,1,0,0,1,2,12,-2
S. OjeleyeS. OjeleyePF,13,0-5,0-5,0-0,0,3,3,0,0,0,0,1,0,-10
S. MamukelashviliS. MamukelashviliPF,1,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0,0
J. RobinsonJ. RobinsonF,15,2-2,2-2,0-0,0,0,0,3,1,0,1,1,6,-8
J. NworaJ. NworaSF,18,2-9,0-5,2-2,0,1,1,0,0,0,0,0,6,-1
G. KalaitzakisG. KalaitzakisSF,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
P. ConnaughtonP. ConnaughtonSG,29,3-6,0-2,0-0,5,5,10,3,1,1,1,2,6,-4
R. HoodR. HoodSG,18,2-5,2-3,0-0,0,2,2,0,0,0,1,1,6,-2
