DEN,MIN,2
DEN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
A. GordonA. GordonPF,31,4-10,0-2,4-4,2,2,4,2,2,2,0,0,12,+26
W. BartonW. BartonSF,31,3-10,1-5,3-4,1,1,2,1,3,2,4,0,10,+8
M. Porter Jr.M. Porter Jr.SF,35,3-14,0-6,1-2,3,9,12,3,1,0,1,2,7,+10
N. JokicN. JokicC,37,10-23,3-8,3-4,5,14,19,7,1,2,7,2,26,+17
M. MorrisM. MorrisPG,30,7-14,1-6,1-2,2,2,4,5,1,0,1,3,16,+17
Je. GreenJe. GreenPF,6,0-1,0-1,0-0,0,0,0,0,0,0,0,1,0,-15
Ja. GreenJa. GreenPF,11,3-3,0-0,0-0,0,1,1,0,1,1,3,3,6,-15
F. CampazzoF. CampazzoPG,17,1-2,1-2,0-0,1,1,2,1,0,1,1,2,3,-24
B. HylandB. HylandPG,18,3-7,2-5,0-0,0,0,0,3,1,1,0,1,8,+10
A. RiversA. RiversSG,11,1-1,1-1,0-0,0,0,0,1,0,0,1,0,3,-9
P.J. DozierP.J. DozierSG,14,1-3,0-1,0-0,0,4,4,1,1,1,0,1,2,-15
MIN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. VanderbiltJ. VanderbiltPF,16,3-5,0-0,0-1,2,4,6,0,0,1,1,4,6,-9
J. McDanielsJ. McDanielsPF,25,1-6,0-4,0-0,1,3,4,1,0,0,1,4,2,-11
A. EdwardsA. EdwardsSF,34,6-19,0-6,2-2,4,7,11,1,0,0,3,1,14,-14
K. TownsK. TownsC,34,4-11,2-5,4-4,3,5,8,3,1,0,5,4,14,-23
D. RussellD. RussellPG,31,6-15,2-6,0-0,0,1,1,6,2,1,3,3,14,+10
T. PrinceT. PrincePF,8,0-2,0-2,0-0,0,0,0,0,0,0,2,0,0,-3
J. OkogieJ. OkogieSF,19,1-4,0-1,2-2,2,3,5,2,2,0,1,0,4,+18
N. ReidN. ReidC,19,5-8,2-5,0-0,1,3,4,1,0,2,1,1,12,+15
P. BeverleyP. BeverleyPG,23,3-5,1-2,0-0,1,2,3,5,1,2,2,5,7,+10
J. McLaughlinJ. McLaughlinPG,4,0-0,0-0,0-0,0,2,2,0,1,0,0,0,0,-5
M. BeasleyM. BeasleySG,27,6-14,6-10,0-0,1,1,2,2,1,0,1,1,18,+2
