POR,CHA,2
POR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. CovingtonR. CovingtonPF,29,2-6,2-6,0-0,1,3,4,0,0,2,0,2,6,-12
N. PowellN. PowellSF,33,6-15,2-9,0-0,1,2,3,5,1,0,0,1,14,-21
J. NurkicJ. NurkicC,26,5-9,0-2,3-3,5,9,14,1,2,1,4,2,13,-12
D. LillardD. LillardPG,38,5-20,2-14,2-2,0,4,4,12,0,0,2,3,14,-6
C. McCollumC. McCollumSG,38,10-24,4-11,1-2,1,1,2,8,0,0,2,3,25,-18
L. Nance Jr.L. Nance Jr.PF,18,4-5,0-0,0-0,2,5,7,1,1,2,1,3,8,-1
BrownBrown PF,1,0-1,0-0,0-0,0,0,0,0,0,0,0,0,0,0
N. LittleN. LittleSF,18,2-3,2-3,2-2,3,3,6,0,0,0,1,1,8,+5
C. ZellerC. ZellerC,18,3-5,0-1,0-0,2,4,6,2,0,0,1,2,6,+3
D. Smith Jr.D. Smith Jr.PG,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
A. SimonsA. SimonsSG,19,6-9,5-8,2-2,0,1,1,1,0,0,1,1,19,+2
C. EllebyC. EllebySG,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
CHA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. HaywardG. HaywardSF,30,5-8,2-3,0-0,1,4,5,0,0,0,1,1,12,+13
M. BridgesM. BridgesSF,34,6-12,3-7,4-5,0,6,6,9,0,1,0,4,19,+22
M. PlumleeM. PlumleeC,27,2-7,0-0,0-2,3,3,6,1,0,1,2,3,4,+14
L. BallL. BallPG,33,10-20,4-9,3-4,1,8,9,7,1,0,1,2,27,+15
T. RozierT. RozierSG,33,4-10,4-9,2-2,0,2,2,5,1,0,3,2,14,+4
P.J. WashingtonP.J. WashingtonPF,21,8-8,1-1,0-0,0,2,2,3,0,2,0,2,17,-2
C. MartinC. MartinSF,15,2-6,0-1,0-0,2,4,6,1,0,2,0,0,4,-4
I. SmithI. SmithPG,15,1-4,0-1,0-0,0,1,1,5,0,0,0,2,2,-3
K. Oubre Jr.K. Oubre Jr.SG,32,8-14,6-11,4-8,3,4,7,5,2,0,1,2,26,+1
