UTAH,MIL,2
UTAH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. O'NealeR. O'NealePF,31,3-5,1-3,0-0,0,3,3,2,1,2,0,3,7,+9
B. BogdanovicB. BogdanovicSF,31,3-9,1-5,7-7,0,5,5,1,0,0,1,2,14,+5
R. GobertR. GobertC,31,2-3,0-0,5-6,3,10,13,2,1,4,2,1,9,+1
M. ConleyM. ConleyPG,30,6-11,4-7,4-4,0,3,3,2,0,0,2,1,20,-3
D. MitchellD. MitchellSG,33,10-18,4-9,4-5,0,4,4,2,2,0,4,2,28,+11
E. PaschallE. PaschallPF,15,2-6,1-5,0-0,2,2,4,0,0,0,0,0,5,+4
H. WhitesideH. WhitesideC,17,2-5,0-0,0-0,2,7,9,1,0,2,1,1,4,+11
J. ClarksonJ. ClarksonPG,26,6-17,0-7,3-3,0,2,2,1,2,0,2,0,15,+7
J. InglesJ. InglesSG,23,1-1,1-1,2-2,0,1,1,1,0,1,0,0,5,+12
J. ButlerJ. ButlerSG,3,0-0,0-0,0-0,0,0,0,1,0,1,0,0,0,+3
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. AntetokounmpoG. AntetokounmpoPF,35,10-20,3-11,2-2,2,5,7,6,2,2,2,3,25,-10
T. AntetokounmpoT. AntetokounmpoSF,32,5-15,0-2,0-0,4,5,9,3,3,0,0,3,10,-10
G. HillG. HillPG,30,5-10,1-2,0-0,1,5,6,2,1,0,1,1,11,+7
P. ConnaughtonP. ConnaughtonSG,29,2-7,1-5,0-0,1,4,5,1,0,0,0,3,5,-12
G. AllenG. AllenSG,31,6-14,5-10,1-2,2,4,6,0,0,0,1,5,18,-3
S. MamukelashviliS. MamukelashviliPF,5,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,-5
J. RobinsonJ. RobinsonF,24,4-7,1-3,0-0,1,2,3,0,1,0,2,3,9,-8
J. NworaJ. NworaSF,24,1-5,0-2,0-0,0,1,1,2,0,0,2,0,2,-4
B. PortisB. PortisC,19,6-15,1-5,2-2,2,3,5,1,0,1,1,2,15,-7
R. HoodR. HoodSG,11,0-3,0-1,0-0,0,1,1,1,0,0,0,2,0,-8
