DET,BKN,2
DET
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. GrantJ. GrantSF,27,5-15,1-5,0-1,0,4,4,0,1,0,4,5,11,-21
S. BeyS. BeySF,27,4-8,1-4,0-0,1,2,3,6,1,1,1,0,9,-15
I. StewartI. StewartC,18,2-4,1-2,0-0,0,1,1,0,0,0,0,1,5,-13
K. HayesK. HayesPG,22,1-5,0-1,4-4,1,1,2,2,5,0,4,3,6,-21
H. DialloH. DialloSG,20,2-6,2-3,0-0,1,3,4,0,0,0,1,1,6,-12
K. OlynykK. OlynykPF,21,3-8,1-3,2-3,1,1,2,2,1,0,1,2,9,-9
T. LylesT. LylesPF,17,3-4,2-2,0-0,1,3,4,3,1,0,1,2,8,-5
J. PickettJ. PickettPF,4,1-1,1-1,0-0,0,0,0,0,0,0,0,0,3,+1
L. GarzaL. GarzaC,9,0-1,0-1,2-2,1,0,1,0,1,0,0,1,2,-4
C. JosephC. JosephPG,21,4-6,1-1,4-4,0,0,0,2,0,0,1,0,13,-7
F. JacksonF. JacksonPG,19,3-8,0-4,0-0,0,2,2,0,2,0,1,0,6,-14
S. LeeS. LeePG,5,0-1,0-1,1-2,0,1,1,3,0,0,1,0,1,+2
J. JacksonJ. JacksonSG,25,4-11,2-5,2-6,1,4,5,3,0,1,0,3,12,-14
R. McGruderR. McGruderG,6,0-1,0-0,0-0,0,0,0,0,0,1,0,0,0,+2
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. DurantK. DurantPF,27,10-13,1-1,2-3,0,1,1,5,0,1,3,3,23,+10
B. GriffinB. GriffinPF,20,3-4,1-2,1-2,0,5,5,2,0,1,2,2,8,+14
J. HarrisJ. HarrisSF,26,5-9,2-4,0-0,0,4,4,1,0,0,1,2,12,+15
B. BrownB. BrownSF,23,1-4,0-1,0-0,0,4,4,2,3,0,0,1,2,+23
J. HardenJ. HardenSG,29,6-9,4-7,2-3,0,10,10,12,0,0,5,0,18,+19
J. JohnsonJ. JohnsonPF,20,1-2,0-1,1-2,0,4,4,1,1,0,3,1,3,+13
L. AldridgeL. AldridgeC,21,7-8,0-0,2-2,1,2,3,1,0,0,2,1,16,+13
D. SharpeD. SharpeC,7,2-2,1-1,0-2,1,1,2,0,0,0,0,2,5,-1
P. MillsP. MillsPG,20,3-7,1-2,0-0,0,0,0,2,0,0,0,1,7,+6
J. CarterJ. CarterPG,17,3-5,2-4,0-0,0,1,1,2,1,0,1,2,8,+9
D. BembryD. BembrySG,24,6-8,1-2,2-2,0,7,7,1,2,0,2,4,15,+11
C. ThomasC. ThomasSG,6,0-1,0-0,0-0,0,0,0,1,0,0,0,0,0,-2
