CLE,CHA,2
CLE
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
L. MarkkanenL. MarkkanenPF,35,7-19,2-8,5-6,3,5,8,0,2,2,2,2,21,+1
J. AllenJ. AllenC,35,9-13,0-0,6-9,6,10,16,2,1,3,1,2,24,+12
E. MobleyE. MobleyC,40,7-15,0-2,1-2,4,6,10,3,2,1,4,4,15,-2
C. SextonC. SextonPG,36,5-17,1-5,6-8,4,3,7,2,2,0,2,0,17,0
D. GarlandD. GarlandPG,35,5-13,1-6,5-7,0,3,3,4,3,0,3,1,16,-9
D. WadeD. WadePF,14,1-1,0-0,0-0,0,4,4,0,0,0,1,1,2,-8
C. OsmanC. OsmanSF,21,4-5,4-5,1-2,0,0,0,2,0,0,0,3,13,-2
R. RubioR. RubioPG,25,1-7,1-2,2-4,0,1,1,8,2,1,3,1,5,+23
CHA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. HaywardG. HaywardSF,29,2-7,2-6,0-0,0,3,3,2,2,1,2,1,6,-4
M. BridgesM. BridgesSF,36,4-18,1-7,4-4,2,7,9,8,3,2,3,2,13,+5
M. PlumleeM. PlumleeC,26,1-2,0-0,0-0,4,3,7,3,0,3,2,3,2,+13
L. BallL. BallPG,34,12-22,5-8,1-1,4,3,7,6,2,2,3,6,30,+14
T. RozierT. RozierSG,34,9-22,4-11,1-2,0,6,6,2,2,1,2,0,23,+2
P.J. WashingtonP.J. WashingtonPF,17,6-8,2-3,4-6,2,1,3,0,1,2,2,1,18,-19
C. MartinC. MartinSF,27,4-9,1-1,1-2,5,1,6,4,1,0,1,3,10,+2
N. RichardsN. RichardsC,4,1-1,0-0,0-0,0,0,0,0,0,0,1,1,2,+2
I. SmithI. SmithPG,11,2-4,0-0,0-0,0,1,1,1,0,0,0,1,4,-16
K. Oubre Jr.K. Oubre Jr.SG,21,1-8,0-3,0-0,3,1,4,1,1,1,1,5,2,-14
