SA,IND,2
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. JohnsonK. JohnsonSF,23,4-11,1-2,0-0,3,2,5,4,1,0,3,1,9,-24
J. PoeltlJ. PoeltlC,22,5-9,0-0,1-2,3,3,6,1,0,1,2,1,11,-21
D. WhiteD. WhitePG,27,4-10,3-5,2-2,0,2,2,7,0,0,0,2,13,-23
D. MurrayD. MurrayPG,26,6-10,3-5,1-2,0,2,2,6,1,0,0,1,16,-19
L. Walker IVL. Walker IVSG,27,4-11,2-6,0-0,0,4,4,2,0,0,2,0,10,+5
T. YoungT. YoungPF,15,1-3,0-0,0-0,0,3,3,5,1,0,2,1,2,-1
D. EubanksD. EubanksPF,5,1-2,0-0,1-1,0,2,2,0,1,1,1,1,3,+2
K. Bates-DiopK. Bates-DiopSF,25,5-9,0-2,0-0,1,6,7,0,0,1,2,0,10,+11
J. LandaleJ. LandaleC,5,4-4,1-1,1-1,1,0,1,1,0,0,0,0,10,+7
T. JonesT. JonesPG,18,4-5,0-1,1-1,0,1,1,4,0,0,0,0,9,+10
B. ForbesB. ForbesSG,19,3-3,3-3,1-2,0,0,0,1,0,0,2,1,10,-4
D. VassellD. VassellSG,27,6-12,1-3,2-3,0,3,3,3,2,1,2,1,15,-8
IND
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. SabonisD. SabonisPF,36,11-15,0-2,2-2,4,9,13,6,1,0,1,2,24,+15
M. TurnerM. TurnerC,24,7-10,1-4,4-5,1,7,8,0,2,3,3,3,19,+18
T.J. McConnellT.J. McConnellPG,26,5-7,0-0,0-0,1,2,3,10,3,1,0,3,10,+10
C. LeVertC. LeVertSG,24,6-19,3-7,1-2,0,2,2,7,0,0,3,1,16,+16
C. DuarteC. DuarteSG,28,6-11,4-6,2-2,1,2,3,2,1,0,1,2,18,+12
J. HolidayJ. HolidaySF,25,6-8,5-7,0-0,0,0,0,4,2,0,2,0,17,+20
T. CraigT. CraigSF,26,3-6,1-4,0-0,2,3,5,1,0,0,1,3,7,+6
O. BrissettO. BrissettSF,3,1-2,0-0,0-0,0,0,0,0,0,0,0,1,2,-8
G. BitadzeG. BitadzeC,9,0-2,0-2,0-0,0,0,0,0,1,0,0,0,0,-3
B. WanamakerB. WanamakerPG,21,2-4,1-1,0-0,1,3,4,4,0,0,2,4,5,0
D. Washington Jr.D. Washington Jr.PG,3,2-3,1-2,0-0,0,1,1,0,0,0,0,0,5,-8
K. MartinK. MartinSG,13,3-4,2-3,0-1,0,0,0,3,1,0,1,0,8,-13
