DEN,MEM,2
DEN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
A. GordonA. GordonPF,28,6-12,2-5,1-3,3,7,10,1,0,0,1,0,15,+5
W. BartonW. BartonSF,29,1-8,0-2,2-2,1,3,4,4,2,0,2,1,4,-14
M. Porter Jr.M. Porter Jr.SF,36,4-9,0-3,2-4,0,8,8,3,1,1,1,0,10,+3
N. JokicN. JokicC,33,9-15,2-6,3-4,1,6,7,7,0,4,3,2,23,0
M. MorrisM. MorrisPG,28,5-12,1-5,0-0,0,1,1,6,1,0,1,0,11,+2
Je. GreenJe. GreenPF,20,3-7,0-2,2-2,0,4,4,3,0,0,2,2,8,-14
Ja. GreenJa. GreenPF,15,4-6,1-3,0-0,1,2,3,1,1,1,1,2,9,-9
F. CampazzoF. CampazzoPG,16,1-3,0-2,0-0,0,1,1,0,0,1,1,2,2,-10
B. HylandB. HylandPG,16,3-10,2-6,0-0,0,1,1,1,2,0,0,0,8,+2
P.J. DozierP.J. DozierSG,19,3-6,1-4,0-0,0,1,1,1,1,1,0,1,7,-10
MEM
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. Jackson Jr.J. Jackson Jr.PF,18,4-7,3-4,0-0,0,4,4,0,1,1,1,5,11,+3
S. AdamsS. AdamsC,31,3-8,0-0,0-0,1,6,7,1,1,2,1,1,6,+2
J. MorantJ. MorantPG,35,12-22,1-3,1-2,3,4,7,8,1,0,4,0,26,+2
D. BaneD. BaneSG,32,5-11,1-5,0-0,1,5,6,2,0,0,2,3,11,+3
D. MeltonD. MeltonSG,25,3-11,1-5,2-2,0,7,7,1,1,0,1,3,9,+6
K. AndersonK. AndersonSF,26,4-10,1-4,0-0,1,8,9,3,1,0,0,0,9,+3
Tillman Sr.T.  Sr.C,17,5-7,0-0,2-3,3,2,5,0,1,0,2,3,12,+7
T. JonesT. JonesPG,27,6-9,5-7,0-0,1,7,8,4,2,0,1,0,17,+7
J. KoncharJ. KoncharSG,12,0-1,0-1,0-0,0,0,0,1,0,0,0,2,0,+6
Z. WilliamsZ. WilliamsSG,16,2-11,1-5,0-0,1,1,2,0,0,1,0,1,5,+6
