SAC,UTAH,2
SAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
H. BarnesH. BarnesSF,35,7-14,2-5,7-9,1,5,6,0,1,0,2,0,23,-16
M. HarklessM. HarklessSF,30,5-8,2-4,0-0,0,3,3,0,1,2,0,0,12,+1
R. HolmesR. HolmesC,33,5-10,0-0,0-0,2,8,10,4,0,1,3,4,10,0
D. FoxD. FoxPG,35,4-15,0-4,5-7,1,1,2,9,3,1,3,6,13,+5
T. HaliburtonT. HaliburtonPG,32,6-16,1-3,1-2,0,3,3,3,1,2,1,1,14,-15
A. LenA. LenC,15,2-5,0-1,0-0,1,4,5,3,1,1,0,5,4,-6
D. MitchellD. MitchellPG,30,7-15,2-7,2-4,0,4,4,2,0,1,2,4,18,-1
B. HieldB. HieldSG,30,6-10,5-7,2-2,1,4,5,3,1,0,0,4,19,+2
UTAH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. O'NealeR. O'NealePF,30,1-5,0-4,0-0,2,3,5,2,0,0,1,2,2,+13
B. BogdanovicB. BogdanovicSF,31,7-11,2-5,4-5,0,3,3,0,0,0,2,2,20,+10
R. GobertR. GobertC,33,3-4,0-0,6-9,1,19,20,1,1,4,3,4,12,+10
M. ConleyM. ConleyPG,31,11-19,6-9,2-2,0,3,3,2,1,0,4,2,30,+9
D. MitchellD. MitchellSG,32,14-30,5-12,3-4,5,3,8,6,1,0,3,4,36,+12
E. PaschallE. PaschallPF,16,1-2,0-1,0-0,2,1,3,0,1,0,1,1,2,-9
H. WhitesideH. WhitesideC,15,3-7,0-0,3-3,4,8,12,0,1,1,1,3,9,-4
J. ClarksonJ. ClarksonPG,23,1-13,0-11,0-2,0,3,3,1,2,1,1,3,2,-4
J. InglesJ. InglesSG,26,1-4,1-4,0-0,1,1,2,4,0,0,0,1,3,-7
J. ButlerJ. ButlerSG,3,1-3,0-2,1-2,0,0,0,0,0,0,0,1,3,0
