NO,PHX,2
NO
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
H. JonesH. JonesSF,19,4-5,0-0,0-0,2,0,2,1,1,0,0,0,8,+5
J. ValanciunasJ. ValanciunasC,36,9-16,3-4,2-2,2,12,14,2,1,2,5,2,23,-1
D. GrahamD. GrahamPG,34,4-15,2-10,2-2,1,2,3,6,4,0,3,0,12,-7
J. HartJ. HartSG,30,6-11,2-5,2-2,3,6,9,3,0,1,1,4,16,-7
N. Alexander-WalkerN. Alexander-WalkerSG,30,4-14,2-6,0-0,0,2,2,2,2,0,0,2,10,-16
G. TempleG. TempleSF,23,2-4,2-4,2-2,0,1,1,2,4,2,3,0,8,-6
N. MarshallN. MarshallSF,18,1-1,0-0,3-4,0,2,2,1,3,1,1,4,5,-11
J. HayesJ. HayesC,11,1-6,0-1,4-4,4,1,5,1,1,0,1,1,6,-7
K. Lewis Jr.K. Lewis Jr.PG,14,2-8,0-3,0-0,0,0,0,2,0,0,2,2,4,-5
T. Murphy IIIT. Murphy IIISG,25,3-11,2-6,0-0,2,3,5,1,1,0,1,1,8,-5
PHX
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CrowderJ. CrowderPF,32,5-7,3-5,0-0,0,8,8,5,1,0,1,1,13,+6
M. BridgesM. BridgesSF,42,9-15,2-4,2-2,0,1,1,1,0,0,1,3,22,+19
J. McGeeJ. McGeeC,19,7-10,0-0,4-5,3,2,5,0,0,1,4,3,18,-6
C. PaulC. PaulPG,36,6-8,0-0,2-2,0,7,7,18,1,1,4,3,14,+16
D. BookerD. BookerSG,34,7-20,2-8,2-2,1,7,8,3,1,1,6,2,18,+8
F. KaminskyF. KaminskyPF,29,5-8,1-2,6-6,1,2,3,3,4,1,1,2,17,+18
A. NaderA. NaderSF,3,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0,-5
C. JohnsonC. JohnsonSF,21,2-8,1-5,1-1,1,3,4,0,0,0,0,2,6,0
E. PaytonE. PaytonPG,12,2-4,0-0,0-0,1,3,4,1,1,0,0,1,4,-4
L. ShametL. ShametSG,13,0-2,0-2,0-0,0,2,2,1,0,0,1,0,0,+8
