POR,CLE,2
POR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. CovingtonR. CovingtonPF,30,2-3,2-3,0-0,0,7,7,2,3,1,0,4,6,+8
N. PowellN. PowellSF,32,9-16,3-6,2-3,0,3,3,2,3,2,1,1,23,+4
J. NurkicJ. NurkicC,28,3-7,0-0,0-1,5,4,9,2,1,0,2,1,6,+10
D. LillardD. LillardPG,40,10-27,3-12,3-5,0,3,3,8,2,0,1,2,26,+5
C. McCollumC. McCollumSG,35,7-19,4-9,3-4,2,5,7,6,1,1,1,2,21,-7
L. Nance Jr.L. Nance Jr.PF,21,0-1,0-1,0-0,0,5,5,2,1,0,1,2,0,-8
T. SnellT. SnellSF,5,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,-4
N. LittleN. LittleSF,11,0-1,0-1,0-0,0,0,0,0,0,2,1,1,0,-3
C. ZellerC. ZellerC,14,3-4,0-0,1-2,3,2,5,1,0,0,1,2,7,-17
A. SimonsA. SimonsSG,24,6-11,1-4,2-2,0,0,0,1,1,0,1,4,15,-3
CLE
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. WadeD. WadePF,23,3-7,1-4,0-0,0,3,3,2,0,0,0,5,7,+10
J. AllenJ. AllenC,40,9-15,0-1,6-9,3,14,17,4,1,1,2,2,24,+5
E. MobleyE. MobleyC,40,5-11,0-1,1-2,2,9,11,0,0,1,4,2,11,-10
C. SextonC. SextonPG,33,8-13,2-4,3-3,0,3,3,2,0,0,5,1,21,-11
D. GarlandD. GarlandPG,36,6-9,5-6,2-2,0,2,2,10,1,0,3,2,19,+4
C. OsmanC. OsmanSF,17,4-7,4-7,0-0,0,3,3,1,0,0,1,0,12,+5
R. RubioR. RubioPG,31,0-7,0-4,0-0,0,3,3,7,1,0,1,1,0,+11
D. WindlerD. WindlerSG,21,4-5,3-3,2-2,0,1,1,3,1,0,1,1,13,+1
