TOR,WSH,2
TOR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P. AchiuwaP. AchiuwaPF,26,2-9,0-0,2-2,3,7,10,4,0,1,2,3,6,-1
O. AnunobyO. AnunobySF,40,9-20,3-5,0-0,1,4,5,1,3,1,2,4,21,+5
F. VanVleetF. VanVleetSG,43,13-22,3-6,4-4,0,3,3,6,1,1,2,1,33,+15
S. MykhailiukS. MykhailiukSG,35,4-8,2-4,5-6,1,3,4,0,1,0,2,1,15,0
G. Trent Jr.G. Trent Jr.SG,34,6-16,2-8,1-1,0,5,5,3,3,0,1,3,15,-3
C. BoucherC. BoucherPF,17,2-5,0-2,1-1,2,4,6,0,0,0,0,3,5,+5
J. ChampagnieJ. ChampagnieSF,3,0-0,0-0,0-0,0,0,0,0,0,0,0,1,0,+4
K. BirchK. BirchC,22,3-6,0-0,3-4,3,2,5,2,0,0,0,4,9,+10
M. FlynnM. FlynnPG,3,0-0,0-0,0-0,0,1,1,1,0,0,0,0,0,+5
D. BantonD. BantonPG,17,2-2,0-0,1-2,0,3,3,0,2,0,1,3,5,+5
WSH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. KuzmaK. KuzmaSF,21,1-10,0-5,0-0,0,2,2,1,0,1,0,1,2,-13
D. GaffordD. GaffordC,21,4-5,0-0,1-1,2,2,4,0,2,0,1,1,9,-18
S. DinwiddieS. DinwiddiePG,30,4-8,2-5,2-2,1,1,2,3,0,0,4,3,12,-9
B. BealB. BealSG,39,8-18,2-5,7-7,2,5,7,7,1,1,2,0,25,-6
K. Caldwell-PopeK. Caldwell-PopeSG,34,4-13,0-6,0-0,1,8,9,0,2,1,1,3,8,-8
C. KispertC. KispertSF,16,1-3,1-3,1-2,0,2,2,0,0,1,0,1,4,0
D. AvdijaD. AvdijaSF,26,4-7,1-3,2-6,3,3,6,1,1,0,2,3,11,+5
M. HarrellM. HarrellC,27,3-4,0-0,9-10,1,9,10,3,0,3,3,2,15,+11
R. NetoR. NetoPG,22,5-8,2-4,2-2,0,2,2,4,0,0,0,1,14,+1
A. HolidayA. HolidayPG,5,0-2,0-1,0-0,0,0,0,0,0,0,0,0,0,-8
