DAL,SA,2
DAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. Finney-SmithD. Finney-SmithPF,36,2-8,0-4,0-0,2,1,3,2,3,1,0,4,4,-12
T. Hardaway Jr.T. Hardaway Jr.SF,36,7-17,3-9,6-6,0,6,6,3,2,0,1,2,23,+18
D. PowellD. PowellC,23,3-4,0-0,0-0,5,1,6,0,0,1,3,3,6,-1
J. BrunsonJ. BrunsonPG,36,9-17,1-4,12-15,1,9,10,3,2,0,2,2,31,+13
L. DoncicL. DoncicPG,36,10-25,3-12,0-2,0,12,12,7,2,0,4,1,23,-17
R. BullockR. BullockSF,7,0-1,0-1,0-0,0,1,1,0,0,0,1,0,0,-2
S. BrownS. BrownSF,19,1-3,1-2,0-0,1,4,5,3,1,1,3,2,3,+7
B. MarjanovicB. MarjanovicC,15,8-10,0-0,1-4,2,3,5,0,0,1,4,5,17,+17
W. Cauley-SteinW. Cauley-SteinC,10,0-1,0-0,0-0,1,1,2,1,0,0,0,2,0,-13
F. NtilikinaF. NtilikinaPG,16,0-6,0-2,2-2,2,2,4,1,0,0,1,2,2,-15
J. GreenJ. GreenSG,6,0-1,0-0,0-0,1,1,2,1,0,0,0,0,0,+10
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. EubanksD. EubanksPF,19,4-10,0-0,2-4,0,5,5,1,0,3,1,2,10,-13
D. McDermottD. McDermottSF,26,1-2,0-0,0-0,0,1,1,1,1,0,2,6,2,-5
K. JohnsonK. JohnsonSF,31,7-18,0-2,2-4,1,5,6,1,1,0,2,2,16,-1
D. WhiteD. WhitePG,36,6-10,1-2,6-6,1,2,3,3,1,1,3,4,19,+4
D. MurrayD. MurrayPG,34,8-18,2-7,5-6,0,9,9,8,2,1,3,4,23,-8
T. YoungT. YoungPF,22,4-8,0-1,0-0,2,4,6,3,2,2,2,2,8,+10
K. Bates-DiopK. Bates-DiopSF,5,0-0,0-0,0-0,0,2,2,0,0,0,0,1,0,-4
T. JonesT. JonesPG,2,1-2,0-0,0-0,0,0,0,1,1,0,0,0,2,+3
B. ForbesB. ForbesSG,11,1-3,0-1,0-0,0,1,1,0,0,0,0,1,2,-13
L. Walker IVL. Walker IVSG,23,2-5,1-2,0-0,1,3,4,6,2,1,0,1,5,+12
D. VassellD. VassellSG,31,9-12,3-6,0-0,0,3,3,1,0,2,2,1,21,+10
