NO,SAC,2
NO
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. TempleG. TempleSF,34,4-12,1-6,3-4,3,5,8,2,0,2,1,1,12,-4
J. ValanciunasJ. ValanciunasC,29,5-13,2-3,2-2,1,10,11,2,0,0,2,1,14,+4
D. GrahamD. GrahamPG,31,5-9,4-7,2-2,1,0,1,7,0,0,2,3,16,-2
J. HartJ. HartSG,32,4-11,1-4,0-0,0,3,3,2,0,0,1,2,9,-6
N. Alexander-WalkerN. Alexander-WalkerSG,33,7-16,1-6,1-2,1,3,4,4,1,0,3,4,16,-6
N. MarshallN. MarshallSF,20,2-5,1-3,0-0,2,3,5,0,0,0,1,0,5,-9
D. LouzadaD. LouzadaSF,1,0-0,0-0,0-0,0,0,0,1,0,0,0,0,0,+1
HernangómezHernangómez C,11,2-2,0-0,4-4,0,2,2,1,0,0,0,2,8,-11
J. HayesJ. HayesC,4,0-2,0-1,0-0,0,0,0,0,0,1,0,0,0,-7
J. AlvaradoJ. AlvaradoPG,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+1
K. Lewis Jr.K. Lewis Jr.PG,17,6-9,2-3,0-0,0,2,2,0,0,0,3,2,14,-14
T. SatoranskyT. SatoranskySG,13,2-5,0-0,1-1,0,0,0,2,0,0,2,1,5,-7
T. Murphy IIIT. Murphy IIISG,14,0-2,0-1,0-0,0,4,4,3,0,0,1,0,0,-5
SAC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
H. BarnesH. BarnesSF,39,5-8,4-6,9-10,1,7,8,3,1,0,3,4,23,+13
M. HarklessM. HarklessSF,32,1-4,1-4,0-0,0,5,5,1,1,1,1,2,3,-1
R. HolmesR. HolmesC,16,6-9,0-1,0-0,1,5,6,1,0,0,1,4,12,-9
D. FoxD. FoxPG,38,8-14,2-3,1-2,0,2,2,5,1,0,1,2,19,+10
T. HaliburtonT. HaliburtonPG,37,6-11,1-3,7-8,0,4,4,7,4,2,0,1,20,+7
T. ThompsonT. ThompsonC,8,0-0,0-0,0-0,0,0,0,0,0,1,0,1,0,+5
A. LenA. LenC,21,6-9,0-1,0-0,0,5,5,2,0,3,2,5,12,+16
D. MitchellD. MitchellPG,26,6-12,0-2,0-0,0,2,2,8,0,0,0,2,12,+12
B. HieldB. HieldSG,23,4-13,2-10,1-2,2,3,5,0,1,0,0,0,11,+12
