PHI,DET,2
PHI
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. EmbiidJ. EmbiidC,30,6-15,0-0,7-8,4,5,9,3,1,0,2,3,19,-9
T. MaxeyT. MaxeyPG,45,8-12,2-4,2-2,0,4,4,5,2,0,1,2,20,+3
S. CurryS. CurrySG,37,9-14,4-8,1-1,0,0,0,2,0,0,3,1,23,+3
M. ThybulleM. ThybulleSG,30,2-7,1-4,0-0,1,1,2,1,1,3,1,1,5,-2
S. MiltonS. MiltonSG,34,7-13,2-5,0-1,2,6,8,5,2,0,3,3,16,+13
G. NiangG. NiangSF,32,4-11,3-10,3-4,0,7,7,2,1,0,1,3,14,+18
P. ReedP. ReedSF,15,2-5,0-1,0-0,3,6,9,1,0,0,0,2,4,+9
A. DrummondA. DrummondC,18,3-6,0-0,2-6,5,5,10,3,1,0,1,2,8,+20
DET
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. GrantJ. GrantSF,38,11-22,2-6,3-3,0,6,6,4,1,1,4,1,27,-2
S. BeyS. BeySF,38,3-9,1-5,0-0,4,1,5,4,1,0,0,2,7,+3
I. StewartI. StewartC,31,3-5,0-1,0-0,0,7,7,2,1,1,0,3,6,0
C. CunninghamC. CunninghamPG,32,4-17,1-7,9-10,4,6,10,4,1,0,3,3,18,+7
K. HayesK. HayesPG,29,4-8,2-3,0-0,2,2,4,2,1,0,0,1,10,+6
K. OlynykK. OlynykPF,17,4-10,2-6,1-2,2,3,5,0,1,0,2,4,11,-11
T. LylesT. LylesPF,10,0-4,0-2,2-2,0,1,1,0,0,0,0,0,2,-9
C. JosephC. JosephPG,17,1-2,0-0,0-0,0,1,1,5,0,0,1,1,2,-19
F. JacksonF. JacksonPG,14,3-6,2-4,0-0,0,1,1,0,0,0,0,2,8,-11
J. JacksonJ. JacksonSG,15,2-4,1-2,2-2,0,1,1,0,0,0,1,1,7,-19
