UTAH,ATL,2
UTAH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. O'NealeR. O'NealePF,34,3-8,2-6,1-1,0,6,6,6,0,0,2,1,9,+5
B. BogdanovicB. BogdanovicSF,31,7-16,2-7,7-7,2,3,5,2,1,0,2,2,23,-5
R. GobertR. GobertC,33,5-6,0-0,3-7,1,14,15,3,2,0,2,2,13,+18
M. ConleyM. ConleyPG,29,5-13,3-9,0-0,0,1,1,11,2,1,1,3,13,+18
J. InglesJ. InglesSG,28,7-9,5-6,0-0,1,3,4,3,0,0,1,3,19,+8
E. PaschallE. PaschallPF,14,1-4,0-2,0-0,1,1,2,0,0,0,0,0,2,+24
M. FittsM. FittsF,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-3
E. HughesE. HughesSF,2,0-1,0-0,0-0,0,0,0,0,0,0,0,1,0,-3
H. WhitesideH. WhitesideC,13,1-2,0-0,0-1,2,5,7,0,1,3,2,2,2,+3
J. ClarksonJ. ClarksonPG,31,10-19,4-10,6-7,1,3,4,3,0,0,2,3,30,+29
T. ForrestT. ForrestSG,19,0-1,0-0,0-0,0,1,1,1,0,0,1,2,0,+2
M. OniM. OniSG,2,0-0,0-0,0-0,0,1,1,1,0,0,0,1,0,-3
J. ButlerJ. ButlerSG,2,2-2,1-1,0-0,0,0,0,0,0,0,1,0,5,-3
ATL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CollinsJ. CollinsPF,31,4-7,3-4,2-2,0,2,2,1,1,2,2,3,13,-8
D. HunterD. HunterSF,31,7-9,0-2,0-3,0,2,2,2,1,0,1,4,14,-4
C. CapelaC. CapelaC,36,4-8,0-0,5-6,2,8,10,2,1,0,0,4,13,-10
T. YoungT. YoungPG,34,8-20,0-4,5-5,2,2,4,7,1,1,2,2,21,-7
B. BogdanovicB. BogdanovicSG,30,3-6,2-4,0-0,0,5,5,2,0,0,1,3,8,-2
D. GallinariD. GallinariPF,17,1-4,1-4,3-3,0,1,1,1,1,1,0,0,6,-14
C. ReddishC. ReddishSF,14,1-6,0-3,2-2,0,0,0,0,4,0,1,1,4,-15
J. JohnsonJ. JohnsonSF,3,1-1,0-0,0-0,0,0,0,0,0,0,0,0,2,+1
G. DiengG. DiengC,8,0-2,0-2,1-2,1,2,3,1,1,0,0,3,1,-4
L. WilliamsL. WilliamsSG,11,2-8,0-1,1-1,0,1,1,1,1,0,1,1,5,-12
D. WrightD. WrightSG,3,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,+1
T. Luwawu-CabarrotT. Luwawu-CabarrotSG,3,1-2,1-1,0-0,0,0,0,0,0,0,0,0,3,+1
S. MaysS. MaysSG,3,0-0,0-0,2-2,0,0,0,1,0,0,1,0,2,+1
K. HuerterK. HuerterSG,16,3-9,0-3,0-0,0,3,3,0,0,0,0,3,6,-18
