BOS,MIA,2
BOS
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TatumJ. TatumSF,29,3-13,2-5,2-3,0,8,8,2,1,0,1,4,10,+10
A. HorfordA. HorfordC,29,3-9,2-7,2-3,2,5,7,1,0,2,0,4,10,+10
R. Williams IIIR. Williams IIIC,24,2-3,0-0,0-0,5,5,10,1,2,0,2,0,4,+4
M. SmartM. SmartPG,30,2-6,1-5,4-4,0,4,4,2,1,0,3,1,9,+2
J. BrownJ. BrownSG,29,5-14,3-5,4-5,0,5,5,2,1,1,2,2,17,+12
J. ParkerJ. ParkerPF,2,0-0,0-0,0-0,0,0,0,0,0,0,1,0,0,-1
G. WilliamsG. WilliamsPF,12,1-3,1-3,0-0,0,2,2,0,0,0,2,0,3,-9
HernangómezHernangómez F,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-3
B. FernandoB. FernandoF,3,0-0,0-0,0-0,0,0,0,0,0,1,1,0,0,-3
A. NesmithA. NesmithSF,18,5-8,3-5,0-0,1,2,3,1,0,0,0,1,13,+15
SchröderSchröder PG,30,5-12,1-4,3-3,2,3,5,6,2,0,3,0,14,+26
P. PritchardP. PritchardPG,3,1-2,1-2,0-0,0,0,0,0,0,0,1,0,3,-3
R. LangfordR. LangfordSG,27,4-8,2-5,2-2,1,1,2,1,0,0,0,4,12,+25
MIA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P.J. TuckerP.J. TuckerPF,32,1-6,1-5,0-0,5,2,7,3,1,0,2,1,3,-8
J. ButlerJ. ButlerSF,38,8-18,0-4,4-8,3,1,4,2,1,0,2,3,20,-10
B. AdebayoB. AdebayoC,30,4-8,0-0,5-6,1,6,7,4,2,0,5,2,13,-12
K. LowryK. LowryPG,28,2-9,2-7,0-0,0,7,7,5,3,0,6,2,6,-10
D. RobinsonD. RobinsonSG,36,5-17,5-17,1-1,0,4,4,0,0,0,0,3,16,-1
M. MorrisM. MorrisPF,19,3-7,1-3,2-2,2,2,4,0,0,0,2,2,9,-11
C. MartinC. MartinSF,9,0-2,0-1,1-2,1,1,2,0,0,0,0,1,1,-3
D. DedmonD. DedmonC,11,1-1,0-0,0-0,0,1,1,0,0,0,0,2,2,-8
O. YurtsevenO. YurtsevenC,4,1-2,0-0,0-0,0,0,0,0,0,0,0,0,2,+5
G. VincentG. VincentPG,4,0-0,0-0,0-0,1,1,2,3,0,0,0,0,0,+5
T. HerroT. HerroPG,29,3-11,0-4,0-0,0,7,7,1,1,0,1,3,6,-32
