HOU,PHX,2
HOU
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TateJ. TateSF,34,5-8,1-2,3-3,1,4,5,4,1,0,3,1,14,0
C. WoodC. WoodC,37,6-15,2-6,4-7,2,13,15,5,0,3,3,5,18,-2
A. SengunA. SengunC,23,4-10,1-2,1-2,1,3,4,5,1,0,2,5,10,-19
K. Porter Jr.K. Porter Jr.SG,36,7-17,0-5,6-6,0,6,6,3,0,0,2,4,20,-5
J. GreenJ. GreenSG,32,3-14,2-7,8-8,0,3,3,3,0,0,2,1,16,-3
K. Martin Jr.K. Martin Jr.F,14,2-3,0-1,0-0,0,1,1,0,0,1,0,2,4,-12
D. NwabaD. NwabaSF,19,3-6,0-1,2-2,1,3,4,1,2,0,0,2,8,-9
D.J. AugustinD.J. AugustinPG,12,2-4,2-3,0-0,1,1,2,3,0,0,1,0,6,-7
E. GordonE. GordonSG,29,5-10,2-4,0-0,0,1,1,1,0,0,5,1,12,-9
A. BrooksA. BrooksSG,5,1-1,1-1,0-0,1,1,2,0,0,0,0,0,3,+6
PHX
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. CrowderJ. CrowderPF,27,1-3,1-3,0-0,0,3,3,1,0,1,0,2,3,+2
M. BridgesM. BridgesSF,30,7-11,2-4,0-0,1,2,3,0,0,1,0,1,16,+4
D. AytonD. AytonC,26,8-17,0-0,0-0,4,7,11,0,1,1,2,6,16,+1
C. PaulC. PaulPG,34,3-10,1-5,2-2,0,5,5,13,5,2,2,3,9,+12
D. BookerD. BookerSG,34,8-18,4-8,7-8,1,8,9,5,1,1,2,3,27,+10
F. KaminskyF. KaminskyPF,6,1-2,0-0,0-0,0,0,0,0,1,0,0,0,2,-2
A. NaderA. NaderSF,11,0-2,0-0,2-2,0,2,2,0,2,0,1,4,2,+6
C. JohnsonC. JohnsonSF,23,4-9,2-3,2-2,1,1,2,0,0,0,0,1,12,+8
J. McGeeJ. McGeeC,17,4-8,0-0,3-4,4,1,5,0,0,2,2,1,11,+13
E. PaytonE. PaytonPG,14,3-4,0-0,0-0,2,3,5,6,1,0,2,3,6,0
L. ShametL. ShametSG,19,5-9,4-8,5-5,0,1,1,4,1,0,1,0,19,+6
