OKC,LAL,2
OKC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. BazleyD. BazleyPF,24,6-12,2-3,0-2,1,4,5,1,1,0,3,1,14,+7
L. DortL. DortSF,35,4-14,3-11,6-6,0,3,3,3,0,0,3,3,17,-1
D. FavorsD. FavorsC,28,5-5,0-0,0-0,5,7,12,0,0,0,1,2,10,0
S. Gilgeous-AlexanderS. Gilgeous-AlexanderPG,39,9-17,4-7,6-6,1,2,3,6,1,1,2,0,28,+14
J. GiddeyJ. GiddeySG,32,2-9,0-2,1-2,3,5,8,8,3,1,4,2,5,+8
J. Robinson-EarlJ. Robinson-EarlPF,10,0-0,0-0,0-0,0,0,0,0,0,0,1,1,0,-1
K. WilliamsK. WilliamsSF,30,5-11,2-5,1-2,1,7,8,2,1,0,0,2,13,-3
M. MuscalaM. MuscalaC,7,2-4,1-3,1-3,0,3,3,0,0,0,0,1,6,-6
A. PokusevskiA. PokusevskiC,10,0-4,0-1,0-0,0,4,4,0,0,0,1,1,0,-13
T. MaledonT. MaledonPG,4,0-1,0-1,0-0,1,0,1,0,0,0,0,0,0,-8
T. JeromeT. JeromeSG,21,4-10,3-8,3-5,0,3,3,3,1,0,1,3,14,+18
LAL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
A. DavisA. DavisPF,38,11-20,0-1,7-9,6,12,18,5,1,2,3,4,29,-14
K. BazemoreK. BazemoreSF,22,0-4,0-2,2-2,0,2,2,2,0,1,0,1,2,-12
D. JordanD. JordanC,14,0-2,0-0,1-2,3,0,3,0,0,0,1,1,1,+5
R. WestbrookR. WestbrookPG,35,10-23,3-6,4-4,1,5,6,5,0,0,4,2,27,+6
A. BradleyA. BradleyPG,32,4-7,1-2,0-0,1,2,3,1,1,0,1,4,9,-5
C. AnthonyC. AnthonyPF,32,8-18,5-10,0-0,2,4,6,2,2,1,1,3,21,+1
D. HowardD. HowardC,8,1-1,0-0,0-0,0,4,4,0,2,1,0,0,2,+8
R. RondoR. RondoPG,15,0-4,0-1,0-0,1,1,2,4,1,0,3,2,0,-7
W. EllingtonW. EllingtonSG,9,1-6,1-5,0-0,1,1,2,1,0,0,0,0,3,-3
M. MonkM. MonkSG,13,1-3,0-1,0-0,0,1,1,2,0,0,0,2,2,+6
A. ReavesA. ReavesSG,22,3-6,2-5,0-0,1,1,2,0,1,0,0,2,8,0
