SA,ORL,2
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. EubanksD. EubanksPF,22,1-5,0-1,3-4,2,2,4,2,2,1,0,1,5,-3
D. McDermottD. McDermottSF,26,3-11,1-5,3-3,0,3,3,2,0,0,1,1,10,+7
K. JohnsonK. JohnsonSF,33,8-15,0-0,4-5,1,8,9,2,1,0,2,1,20,+11
D. WhiteD. WhitePG,33,4-14,2-6,2-2,1,9,10,4,0,1,2,1,12,+10
D. MurrayD. MurrayPG,36,9-16,1-2,1-1,0,11,11,7,3,1,3,1,20,+14
T. YoungT. YoungPF,26,6-7,0-0,0-0,0,4,4,5,2,3,3,4,12,+16
K. Bates-DiopK. Bates-DiopSF,15,0-3,0-1,2-2,1,2,3,0,0,0,0,0,2,+2
T. JonesT. JonesPG,5,1-1,0-0,0-0,0,0,0,0,0,0,0,0,2,+2
B. ForbesB. ForbesSG,3,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-1
L. Walker IVL. Walker IVSG,16,3-6,1-1,0-0,0,2,2,0,0,0,1,2,7,-2
D. VassellD. VassellSG,26,5-12,1-3,1-1,0,2,2,1,3,1,1,3,12,+9
ORL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
F. WagnerF. WagnerSF,29,3-11,1-5,0-0,1,2,3,4,1,1,1,2,7,-7
W. Carter Jr.W. Carter Jr.C,29,6-16,1-5,0-0,3,7,10,1,0,1,0,1,13,-3
M. BambaM. BambaC,31,5-11,2-6,0-0,0,7,7,0,1,3,1,2,12,-11
C. AnthonyC. AnthonyPG,35,8-18,4-10,1-1,1,8,9,6,2,0,5,3,21,-14
J. SuggsJ. SuggsSG,28,4-11,1-6,3-3,0,1,1,3,0,2,5,3,12,+7
C. OkekeC. OkekePF,20,4-7,0-2,0-0,0,4,4,2,1,2,2,0,8,-11
R.J. HamptonR.J. HamptonPG,21,4-7,3-3,0-2,1,1,2,3,1,2,1,1,11,-2
T. RossT. RossSG,27,0-2,0-2,2-2,0,2,2,3,3,0,3,0,2,-3
G. HarrisG. HarrisSG,20,1-6,0-2,1-2,1,4,5,1,0,1,0,1,3,-21
