CLE,TOR,2
CLE
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. WadeD. WadePF,26,4-9,0-4,0-0,1,4,5,2,1,0,1,1,8,-3
J. AllenJ. AllenC,39,5-6,1-1,5-6,5,10,15,0,1,1,3,0,16,+5
E. MobleyE. MobleyC,38,7-14,0-3,4-4,0,5,5,2,0,1,2,2,18,-7
C. SextonC. SextonPG,32,4-18,1-5,0-0,3,2,5,2,1,0,2,2,9,+1
D. GarlandD. GarlandPG,36,8-12,2-3,3-3,0,1,1,8,1,0,4,1,21,+1
L. StevensL. StevensF,9,1-2,0-1,0-0,0,1,1,0,0,0,1,0,2,+9
C. OsmanC. OsmanSF,26,5-12,5-10,2-4,0,2,2,2,0,1,1,1,17,0
R. RubioR. RubioPG,22,4-8,1-1,2-2,2,3,5,4,0,0,3,5,11,-2
D. WindlerD. WindlerSG,11,0-2,0-2,0-0,0,0,0,2,0,0,0,1,0,+1
TOR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P. AchiuwaP. AchiuwaPF,18,2-3,0-1,1-2,2,6,8,0,0,0,1,3,5,+5
O. AnunobyO. AnunobySF,37,10-21,3-7,0-0,2,4,6,5,1,1,0,4,23,-5
S. BarnesS. BarnesSF,38,7-19,0-0,0-0,6,3,9,4,1,2,0,1,14,+5
F. VanVleetF. VanVleetSG,37,6-18,4-8,2-3,0,6,6,6,1,0,3,2,18,-3
G. Trent Jr.G. Trent Jr.SG,37,7-14,3-4,0-0,2,0,2,1,5,2,3,2,17,-5
C. BoucherC. BoucherPF,7,0-2,0-1,1-2,0,1,1,0,0,0,1,1,1,-4
K. BirchK. BirchC,30,2-8,0-1,0-0,7,1,8,2,0,2,0,1,4,-6
M. FlynnM. FlynnPG,7,2-2,1-1,0-0,0,1,1,1,2,1,0,1,5,+4
D. BantonD. BantonPG,10,5-7,0-1,1-2,0,2,2,1,0,0,1,2,11,+5
S. MykhailiukS. MykhailiukSG,19,1-5,1-3,0-0,0,2,2,0,0,0,0,2,3,-1
