NY,MIL,2
NY
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. RandleJ. RandlePF,33,11-22,3-9,7-10,5,7,12,4,0,2,3,4,32,+13
M. RobinsonM. RobinsonC,21,1-2,0-0,2-3,2,4,6,1,2,0,1,1,4,-1
K. WalkerK. WalkerPG,15,2-8,1-5,0-0,0,1,1,1,0,0,2,0,5,-10
E. FournierE. FournierSG,25,2-7,1-6,2-2,1,1,2,0,0,0,1,0,7,-13
R. BarrettR. BarrettSG,39,8-21,2-7,2-2,2,5,7,3,0,0,2,2,20,+15
J. SimsJ. SimsPF,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-6
O. ToppinO. ToppinPF,15,1-5,0-2,4-4,0,2,2,0,0,1,0,2,6,+2
K. Knox IIK. Knox IIF,1,0-0,0-0,1-2,2,0,2,0,0,0,1,0,1,-4
N. NoelN. NoelC,24,2-2,0-0,2-2,5,8,13,0,4,1,3,4,6,+22
D. RoseD. RosePG,30,10-18,2-6,1-1,2,6,8,4,2,0,0,0,23,+31
M. McBrideM. McBridePG,0,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-3
A. BurksA. BurksSG,13,0-1,0-1,0-0,0,4,4,2,1,0,1,3,0,+15
I. QuickleyI. QuickleySG,18,4-9,1-3,0-0,1,1,2,1,3,0,0,1,9,+18
Q. GrimesQ. GrimesSG,1,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,-4
MIL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
G. AntetokounmpoG. AntetokounmpoPF,31,7-17,2-7,9-11,1,6,7,4,2,0,3,3,25,-5
T. AntetokounmpoT. AntetokounmpoSF,18,1-4,0-0,2-4,1,2,3,2,0,0,0,1,4,-3
G. HillG. HillPG,25,2-2,2-2,0-0,1,1,2,4,1,0,1,3,6,-4
P. ConnaughtonP. ConnaughtonSG,28,2-8,1-7,0-0,0,2,2,1,0,1,2,2,5,-20
G. AllenG. AllenSG,31,8-12,6-9,0-0,1,4,5,2,1,1,0,2,22,-11
S. OjeleyeS. OjeleyePF,19,1-4,0-1,0-0,0,2,2,0,1,0,1,2,2,-2
J. RobinsonJ. RobinsonF,4,0-0,0-0,0-0,0,0,0,0,0,0,0,2,0,+3
J. NworaJ. NworaSF,24,5-13,3-8,0-0,0,3,3,1,0,1,2,1,13,-3
B. PortisB. PortisC,24,3-9,0-1,0-0,3,5,8,1,0,2,1,2,6,-12
J. HolidayJ. HolidayPG,20,3-8,1-3,3-4,0,4,4,3,0,0,5,2,10,-12
R. HoodR. HoodSG,17,1-5,1-5,2-2,0,1,1,1,0,0,0,0,5,-6
