IND,POR,2
IND
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. SabonisD. SabonisPF,36,7-12,0-4,1-4,1,11,12,4,0,0,6,4,15,-5
M. TurnerM. TurnerC,31,5-10,3-7,3-4,0,6,6,2,0,1,1,2,16,-8
T.J. McConnellT.J. McConnellPG,33,8-13,3-4,0-0,1,6,7,2,2,1,2,2,19,-5
C. LeVertC. LeVertSG,34,6-21,0-8,0-0,1,3,4,6,1,0,0,3,12,-5
C. DuarteC. DuarteSG,26,4-7,1-3,0-0,1,2,3,4,1,0,1,1,9,-1
J. HolidayJ. HolidaySF,30,4-9,4-7,0-0,2,2,4,3,1,0,0,2,12,-2
T. CraigT. CraigSF,17,3-4,0-1,0-0,1,1,2,0,2,0,0,1,6,+4
G. BitadzeG. BitadzeC,4,1-2,0-1,2-2,0,1,1,0,0,0,0,1,4,+1
B. WanamakerB. WanamakerPG,17,2-5,1-3,0-0,0,1,1,6,0,0,1,2,5,-4
K. MartinK. MartinSG,13,3-5,2-4,0-0,0,0,0,1,1,0,0,0,8,+5
POR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. CovingtonR. CovingtonPF,34,7-12,5-10,0-0,0,5,5,0,1,0,2,2,19,+6
N. PowellN. PowellSF,32,8-14,3-4,6-6,0,2,2,2,2,1,1,0,25,+1
J. NurkicJ. NurkicC,23,4-8,0-1,2-2,2,7,9,3,2,0,1,4,10,+5
D. LillardD. LillardPG,38,2-13,0-6,0-0,0,4,4,11,1,1,2,1,4,-4
C. McCollumC. McCollumSG,41,11-19,5-9,0-0,0,5,5,6,0,0,4,1,27,+7
L. Nance Jr.L. Nance Jr.PF,18,0-1,0-0,2-4,1,4,5,3,1,1,0,1,2,+3
T. SnellT. SnellSF,7,0-2,0-2,0-0,0,1,1,0,0,0,0,1,0,+9
N. LittleN. LittleSF,16,2-3,0-1,3-3,1,3,4,0,0,0,1,3,7,+3
C. ZellerC. ZellerC,11,0-0,0-0,0-0,2,4,6,1,0,0,1,1,0,-9
A. SimonsA. SimonsSG,21,6-10,4-6,0-0,0,1,1,1,0,1,1,1,16,-1
