HOU,DEN,2
HOU
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. TateJ. TateSF,31,4-7,0-1,2-3,2,6,8,1,1,1,1,4,10,-4
D. TheisD. TheisC,32,8-12,1-2,1-2,2,3,5,0,2,0,1,2,18,-7
C. WoodC. WoodC,37,4-11,1-3,3-4,0,17,17,2,1,1,4,3,12,+2
K. Porter Jr.K. Porter Jr.SG,32,2-14,2-7,0-0,2,1,3,4,1,0,3,1,6,-8
J. GreenJ. GreenSG,31,3-9,0-5,3-5,0,2,2,2,1,0,3,0,9,-11
K. Martin Jr.K. Martin Jr.F,19,3-5,1-3,4-4,0,1,1,1,1,3,0,0,11,+4
D. NwabaD. NwabaSF,4,1-2,0-0,0-0,0,2,2,0,0,0,1,0,2,-4
A. SengunA. SengunC,14,3-4,1-1,2-2,0,4,4,3,0,1,0,4,9,+8
D.J. AugustinD.J. AugustinPG,9,2-3,1-2,0-0,0,1,1,3,0,0,0,0,5,+7
E. GordonE. GordonSG,29,5-7,1-3,1-4,1,3,4,3,0,0,3,2,12,+3
A. BrooksA. BrooksSG,4,0-1,0-1,0-0,0,0,0,0,1,0,0,0,0,+5
DEN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
A. GordonA. GordonPF,28,3-7,3-6,0-0,1,2,3,2,0,2,1,1,9,+6
W. BartonW. BartonSF,37,7-19,1-8,0-0,1,6,7,6,1,1,1,0,15,+12
M. Porter Jr.M. Porter Jr.SF,7,1-4,0-2,0-0,0,4,4,0,0,0,0,0,2,+8
N. JokicN. JokicC,36,9-15,1-3,9-11,2,12,14,2,2,1,5,5,28,+7
M. MorrisM. MorrisPG,34,4-10,1-5,0-0,0,1,1,1,2,0,0,3,9,+15
Je. GreenJe. GreenPF,20,3-10,1-3,1-2,2,1,3,1,0,1,0,0,8,-5
Ja. GreenJa. GreenPF,12,3-3,0-0,2-2,3,1,4,1,0,0,1,2,8,-6
F. CampazzoF. CampazzoPG,18,3-6,2-5,0-0,1,1,2,2,1,0,0,3,8,-20
B. HylandB. HylandPG,15,1-7,0-4,0-0,0,1,1,0,0,0,2,1,2,-9
A. RiversA. RiversSG,9,0-1,0-0,0-0,0,2,2,0,1,0,0,1,0,-1
P.J. DozierP.J. DozierSG,23,2-7,0-4,2-2,0,4,4,4,3,0,1,4,6,-2
