BKN,TOR,2
BKN
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
K. DurantK. DurantPF,37,11-19,3-6,6-6,1,6,7,7,0,0,6,2,31,+17
B. GriffinB. GriffinPF,28,5-9,4-6,0-2,4,7,11,3,0,0,1,1,14,+18
J. HarrisJ. HarrisSF,32,4-8,3-7,0-0,1,3,4,2,0,0,0,2,11,+17
B. BrownB. BrownSF,33,6-11,0-2,0-0,1,3,4,2,2,0,1,0,12,+12
J. HardenJ. HardenSG,39,10-20,3-10,5-6,5,5,10,8,0,0,2,4,28,+11
P. MillsapP. MillsapPF,5,0-0,0-0,0-0,0,2,2,1,0,0,0,1,0,-2
L. AldridgeL. AldridgeC,18,0-3,0-0,2-2,0,6,6,5,0,0,0,1,2,-3
P. MillsP. MillsPG,25,3-7,3-6,4-4,0,1,1,0,0,0,4,1,13,-5
J. CarterJ. CarterPG,4,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-1
D. BembryD. BembrySG,21,2-3,1-1,0-0,0,3,3,1,1,0,1,3,5,+1
TOR
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
P. SiakamP. SiakamPF,25,5-12,1-3,4-5,1,3,4,1,1,2,0,3,15,-8
O. AnunobyO. AnunobySF,38,7-16,1-6,1-2,1,7,8,3,0,0,2,2,16,-13
S. BarnesS. BarnesSF,31,4-7,0-1,0-0,1,6,7,4,5,0,1,5,8,-7
F. VanVleetF. VanVleetSG,41,6-14,3-8,6-6,1,3,4,8,1,1,1,0,21,-11
G. Trent Jr.G. Trent Jr.SG,36,7-14,0-5,0-0,0,1,1,2,0,1,1,1,14,-12
C. BoucherC. BoucherPF,9,2-2,0-0,2-2,1,0,1,0,1,1,2,0,6,+4
P. AchiuwaP. AchiuwaPF,27,6-11,1-2,0-2,1,7,8,0,1,1,0,2,13,-13
D. BantonD. BantonPG,12,2-4,0-1,1-1,2,0,2,4,1,0,0,2,5,0
S. MykhailiukS. MykhailiukSG,21,2-7,1-4,0-0,0,0,0,1,0,0,1,1,5,-5
