CLE,NY,2
CLE
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. WadeD. WadePF,27,2-6,2-5,0-0,0,3,3,0,3,0,0,4,6,+8
J. AllenJ. AllenC,34,8-15,0-0,2-4,6,11,17,4,2,0,3,3,18,+17
E. MobleyE. MobleyC,36,11-15,2-4,2-2,3,6,9,5,1,1,1,1,26,+26
C. SextonC. SextonPG,13,4-8,0-3,0-0,0,1,1,4,0,0,0,1,8,+2
D. GarlandD. GarlandPG,35,6-14,4-5,0-0,0,3,3,5,1,0,3,1,16,+19
L. StevensL. StevensF,14,1-2,0-0,0-0,1,2,3,0,0,0,0,2,2,0
C. OsmanC. OsmanSF,31,0-5,0-5,2-2,1,4,5,2,0,1,3,3,2,+1
T. FallT. FallC,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,+2
R. RubioR. RubioPG,31,13-19,8-9,3-3,0,3,3,10,1,0,4,1,37,+6
D. ValentineD. ValentineSG,1,1-1,0-0,0-0,0,0,0,0,0,0,0,0,2,+2
D. WindlerD. WindlerSG,17,3-5,3-4,0-0,0,4,4,1,0,0,1,2,9,+2
NY
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
J. RandleJ. RandlePF,37,7-17,1-5,4-5,0,7,7,7,1,1,2,3,19,-22
M. RobinsonM. RobinsonC,17,3-3,0-0,2-2,4,3,7,1,0,5,0,2,8,-11
D. RoseD. RosePG,29,8-14,1-2,0-0,0,1,1,5,1,0,0,0,17,-20
E. FournierE. FournierSG,29,5-13,2-7,3-3,1,2,3,1,2,0,1,0,15,-9
R. BarrettR. BarrettSG,30,3-13,0-6,0-0,1,2,3,1,0,0,4,2,6,-14
J. SimsJ. SimsPF,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-2
O. ToppinO. ToppinPF,11,4-4,0-0,3-3,0,2,2,1,0,0,1,3,11,+5
K. Knox IIK. Knox IIF,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,-2
N. NoelN. NoelC,30,2-2,0-0,1-1,1,5,6,0,3,3,2,3,5,-4
M. McBrideM. McBridePG,1,0-1,0-1,0-0,0,0,0,0,0,0,0,0,0,-2
A. BurksA. BurksSG,22,2-7,1-2,5-6,0,1,1,0,1,0,0,1,10,+3
I. QuickleyI. QuickleySG,20,3-8,2-5,4-4,0,1,1,5,1,0,0,0,12,-4
Q. GrimesQ. GrimesSG,12,2-3,2-3,0-0,0,1,1,0,0,0,0,0,6,-3
