UTAH,ORL,2
UTAH
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
R. O'NealeR. O'NealePF,34,5-6,2-3,2-3,1,6,7,2,3,0,2,3,14,-6
B. BogdanovicB. BogdanovicSF,32,4-13,1-5,4-4,2,2,4,1,0,0,0,0,13,-9
R. GobertR. GobertC,34,7-9,0-0,7-8,5,10,15,1,3,4,4,3,21,-2
J. InglesJ. InglesSG,34,2-9,1-7,0-0,1,2,3,6,1,0,2,2,5,-4
D. MitchellD. MitchellSG,33,8-24,2-12,3-3,3,4,7,7,0,0,3,5,21,-8
E. PaschallE. PaschallPF,16,1-5,0-4,4-6,0,2,2,0,0,0,0,0,6,+2
H. WhitesideH. WhitesideC,14,5-9,0-0,2-3,4,6,10,0,0,1,3,3,12,-5
J. ClarksonJ. ClarksonPG,28,2-13,2-11,0-0,0,1,1,3,1,2,3,0,6,-4
T. ForrestT. ForrestSG,15,0-1,0-0,2-2,0,1,1,1,2,0,0,1,2,+1
ORL
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
F. WagnerF. WagnerSF,32,4-10,0-1,2-2,1,3,4,4,1,0,0,4,10,+4
W. Carter Jr.W. Carter Jr.C,32,9-14,4-7,0-0,1,14,15,6,0,1,1,4,22,+21
M. BambaM. BambaC,23,4-6,1-2,0-0,2,5,7,1,2,4,0,3,9,+5
C. AnthonyC. AnthonyPG,32,13-20,5-10,2-2,0,3,3,2,3,2,2,3,33,+14
J. SuggsJ. SuggsSG,25,3-10,0-2,0-0,0,2,2,5,0,0,4,2,6,-2
C. OkekeC. OkekePF,20,0-3,0-2,4-4,0,2,2,1,0,0,1,0,4,+1
M. WagnerM. WagnerC,3,1-1,1-1,0-0,0,1,1,0,0,0,0,1,3,-8
R.J. HamptonR.J. HamptonPG,20,3-4,1-1,1-2,1,1,2,1,1,1,3,2,8,+14
T. RossT. RossSG,23,2-12,0-6,0-1,1,1,2,3,0,0,2,1,4,-10
G. HarrisG. HarrisSG,31,4-7,0-0,0-0,1,0,1,1,1,0,0,2,8,-4
