SA,OKC,2
SA
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. EubanksD. EubanksPF,22,7-8,0-0,0-0,2,9,11,2,0,3,2,3,14,-1
D. McDermottD. McDermottSF,19,4-10,2-5,0-2,1,0,1,0,0,0,0,2,10,-9
K. JohnsonK. JohnsonSF,38,9-16,0-1,4-4,0,6,6,1,2,1,1,0,22,-10
D. WhiteD. WhitePG,27,0-10,0-4,0-0,1,2,3,5,1,1,0,2,0,-14
D. MurrayD. MurrayPG,35,5-19,0-4,0-0,1,7,8,9,3,1,3,2,10,-11
T. YoungT. YoungPF,25,5-5,0-0,0-1,4,4,8,3,1,1,2,0,10,-2
K. Bates-DiopK. Bates-DiopSF,7,1-1,0-0,0-0,1,1,2,1,0,2,0,0,2,-2
T. JonesT. JonesPG,8,1-3,0-0,0-0,0,1,1,2,1,0,0,1,2,+7
B. ForbesB. ForbesSG,7,1-2,1-1,0-0,0,0,0,1,0,0,0,0,3,+6
L. Walker IVL. Walker IVSG,27,5-14,3-10,2-2,0,2,2,2,1,0,1,2,15,+10
D. VassellD. VassellSG,25,3-12,0-5,0-0,1,3,4,3,0,1,0,4,6,+1
OKC
Name,MIN,FG,3PT,FT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PorM
D. BazleyD. BazleyPF,32,4-9,1-1,2-2,3,8,11,4,1,1,2,1,11,+12
J. Robinson-EarlJ. Robinson-EarlPF,24,5-9,3-5,0-0,1,3,4,1,0,2,1,1,13,+14
L. DortL. DortSF,35,5-14,1-7,2-2,1,6,7,0,0,0,1,4,13,+12
S. Gilgeous-AlexanderS. Gilgeous-AlexanderPG,36,5-16,1-6,3-3,0,8,8,9,1,1,3,0,14,+16
J. GiddeyJ. GiddeySG,27,3-10,1-6,0-0,2,5,7,4,0,0,4,1,7,-14
K. WilliamsK. WilliamsSF,20,2-7,0-2,3-4,1,3,4,1,1,1,0,0,7,-1
D. FavorsD. FavorsC,12,1-6,0-0,0-0,4,1,5,1,2,0,0,1,2,-17
M. MuscalaM. MuscalaC,14,5-6,3-4,7-9,1,3,4,0,0,2,0,2,20,+8
A. PokusevskiA. PokusevskiC,18,1-3,1-2,0-0,2,3,5,0,0,0,2,2,3,+3
T. MaledonT. MaledonPG,7,0-5,0-4,0-0,0,0,0,1,0,0,0,0,0,0
T. JeromeT. JeromeSG,14,4-9,1-5,0-0,0,1,1,0,0,0,0,2,9,-8
V. KrejciV. KrejciG,0,0-0,0-0,0-0,0,1,1,0,0,0,0,0,0,0
